t_ns,x,y,yaw
1773338007437205036,-0.0002168201076909928,3.307305587962748e-09,-4.3912790234301724e-05
1773338007558739258,-0.0002307694211842211,3.524855176857929e-09,-4.301198253164884e-05
1773338007685055684,-0.0002516267981012616,3.880525687390642e-09,-4.207710458992153e-05
1773338007807354861,-0.0002774828176446303,4.1655756520561e-09,-3.6627041092973656e-05
1773338007926797425,-0.0002871687622167039,4.225314466516746e-09,-3.557769752005058e-05
1773338008051366369,-0.0003076888495828611,4.557501859265429e-09,-3.711653106597268e-05
1773338008175829331,-0.00032403158922103786,4.836215403523757e-09,-4.3161062507568466e-05
1773338008311510918,-0.00034320903877939075,4.9742302195701265e-09,-5.394074658315873e-05
1773338008446576564,-0.0003636467969248033,5.360186757512609e-09,-6.590274384654649e-05
1773338008566127264,-0.00038000232877699136,5.658241639391346e-09,-7.778683211778768e-05
1773338008690975600,-0.00039855969411427267,6.026037689830173e-09,-8.702080972255999e-05
1773338008812448115,-0.0004196677761529128,6.424275049544371e-09,-9.099461977823964e-05
1773338008936088062,-0.00044082727896009203,6.784410553815199e-09,-8.615197780104111e-05
1773338009064746744,-0.000460806560980112,7.2816937532451986e-09,-7.15381903835244e-05
1773338009188343059,-0.000475632134200238,7.2612126593289856e-09,-6.521748022736419e-05
1773338009311669441,-0.0004973287622483142,7.5779304778049e-09,-6.818884509041112e-05
1773338009435896856,-0.0005105627035803446,7.82346494013124e-09,-7.334924536506193e-05
1773338009559667122,-0.0005387295581290346,8.370370663903445e-09,-8.973407426715595e-05
1773338009682281730,-0.000552827539192982,8.649169406250486e-09,-9.863256382613983e-05
1773338009807183488,-0.0005735995647232532,9.036641356041637e-09,-0.00011726747641827018
1773338009927246644,-0.0005876305935120286,9.317805381795272e-09,-0.00012268552307181935
1773338010053621132,-0.0006087955057802399,9.724281611386861e-09,-0.0001333374445371405
1773338010175957823,-0.0006244769245712539,1.0153552527974058e-08,-0.00013869397014731885
1773338010299947406,-0.0006436491833173265,1.0546200404701461e-08,-0.00014350632897253138
1773338010424381656,-0.0006647415495971116,1.0927177504440449e-08,-0.00014300073923356746
1773338010546892057,-0.0006852358843922853,1.1478048425183797e-08,-0.0001431045975510692
1773338010672907743,-0.0007064126432662477,1.2208012150311543e-08,-0.0001466156007459141
1773338010794580992,-0.0007228913345913258,1.2020034240858719e-08,-0.00014993775730287595
1773338010917115028,-0.0007411502974907547,1.2627840830377425e-08,-0.00014811193454900007
1773338011043999798,-0.0007564088114400809,1.2831502375620265e-08,-0.00014802582419326524
1773338011166537491,-0.0007766252441977477,1.319288350764816e-08,-0.00014708997123502598
1773338011291386129,-0.0007971351961189192,1.3755159851979606e-08,-0.0001464522209362329
1773338011420818494,-0.0008123999002824333,1.3964536978782636e-08,-0.00014591968638644204
1773338011541375090,-0.0008348634191329925,1.4282466969774354e-08,-0.00014419322197190001
1773338011664475394,-0.0008483367624933374,1.4724904257490507e-08,-0.00014522018592133532
1773338011789766393,-0.0008747154122695087,1.553152095511771e-08,-0.00014601463149643837
1773338011913828135,-0.000888892023779501,1.5702486252790392e-08,-0.00014629708465685454
1773338012037734461,-0.0009049080879020611,1.590709486530818e-08,-0.00014503295810985864
1773338012161485212,-0.0009289185310499658,1.676566715569259e-08,-0.00014159763739174378
1773338012283424438,-0.0009447928854375054,1.705962997069351e-08,-0.00013732258288534638
1773338012410174013,-0.0009657118146876548,1.7424460731966068e-08,-0.00013541278112993993
1773338012535265594,-0.0009851237592227225,1.789542844232577e-08,-0.00013606410907529565
1773338012663121602,-0.001007631112208348,1.8339955255250046e-08,-0.00014216476311856852
1773338012782711370,-0.0010216773697902545,1.860751939836106e-08,-0.0001456988336814291
1773338012903499457,-0.0010411041456807448,1.9108850538171917e-08,-0.00015000332036896324
1773338013027671239,-0.0010567387385842758,1.942070048103266e-08,-0.00015486250809892965
1773338013151953221,-0.0010728743693501216,1.9657649797069806e-08,-0.0001604768601168871
1773338013273902807,-0.0010969039275319247,2.056358664615841e-08,-0.00016477861930219714
1773338013400725471,-0.0011127840624747729,2.088346333416067e-08,-0.00016898658772124264
1773338013520894822,-0.0011289094486693807,2.1106402987282025e-08,-0.00017424280913802548
1773338013648680467,-0.001160147293783576,2.2590343021561038e-08,-0.00018757592958840166
1773338013769375248,-0.0011705132035265567,2.2593857836222975e-08,-0.00019487030589226964
1773338013892068278,-0.0011962159468180327,2.35391766095173e-08,-0.00020985280984442412
1773338014014897678,-0.001209075101023313,2.355107182325825e-08,-0.00021690436970978055
1773338014137147757,-0.0012322998106584849,2.4553009059422648e-08,-0.00023059032712602345
1773338014260580114,-0.001245687688548104,2.4512869584216237e-08,-0.00023764568217021775
1773338014388463516,-0.0012666599408802943,2.48310251841722e-08,-0.000255804836049478
1773338014513716776,-0.001288232117602235,2.596953416166937e-08,-0.00026496623039129474
1773338014652812110,-0.0012962974470274882,2.5752150577148437e-08,-0.000268821310065892
1773338014781245358,-0.0013227050575836657,2.654054746613609e-08,-0.0002673590078656751
1773338014902407607,-0.0013366129909204614,2.6800909034853166e-08,-0.00026465685610066453
1773338015026622253,-0.0013577688568104428,2.7166656380853605e-08,-0.00026356046529052435
1773338015148869988,-0.0013842795959147314,2.83504386712342e-08,-0.0002656794566426868
