t_ns,x,y,yaw
1773337772086706531,-0.0008778557557444604,6.495213121624787e-07,-3.0914628594253008e-06
1773337772126590663,-0.0008850090349683383,1.808904644922322e-07,6.288913405593012e-05
1773337772166818822,-0.0008907310752888728,-2.893815939409736e-07,1.783470025263109e-06
1773337772209360960,-0.0008971674870507737,7.908867059941824e-07,6.597436315067453e-05
1773337772251225707,-0.0009033671743279957,-3.646591288281142e-08,-1.909177567311347e-06
1773337772291171809,-0.000909803878621786,6.861747518223804e-07,-3.0730999741836706e-06
1773337772330976251,-0.0009162421868957751,-3.793227572915797e-07,6.85717087960115e-05
1773337772369672872,-0.0009224400301038548,4.622535803395478e-07,7.173589487543401e-05
1773337772409966636,-0.0009284001010213489,9.459287554471883e-07,-5.559055416934788e-06
1773337772449962944,-0.0009353155517390087,-1.1902168237659902e-07,6.874634273302989e-05
1773337772491841778,-0.00094127484005634,8.414903332302466e-07,2.4882578603609135e-06
1773337772532575460,-0.0009474736596282798,7.293929801518434e-07,-1.8623365470514128e-06
1773337772571413130,-0.0009539116654799935,3.7915074615914945e-07,6.307612225056199e-05
1773337772611220808,-0.0009603493180298278,2.8908506339783034e-08,1.0773248653320716e-06
1773337772654353140,-0.0009665469302576789,9.896940535130448e-07,7.10455007349646e-05
1773337772695699991,-0.0009729851009836029,6.394518222394645e-07,6.265396157963403e-05
1773337772735859359,-0.0009787075470489624,-3.0765708290806346e-07,-1.1438643755020563e-06
1773337772778422587,-0.0009856207243991962,7.731582821021479e-07,6.784717149033496e-05
1773337772821119559,-0.0009918204397842347,6.501487704018093e-08,-1.5907579598235273e-06
1773337772861359812,-0.000998495812181709,5.495106522852962e-07,3.360650822174626e-07
1773337772901415853,-0.0010039790521865226,5.558019078346627e-07,-3.6953095739725144e-07
1773337772940647023,-0.001011132316965657,3.25589486629136e-07,6.977481903433607e-05
1773337772983081425,-0.001016853904434449,3.3215427413336297e-07,-7.984168980054724e-07
1773337773030992313,-0.00102329133511277,3.3953967070929523e-07,-7.972616355021853e-07
1773337773077345445,-0.0010294901873468835,4.6586074487250134e-07,-1.5458296960230865e-06
1773337773116869032,-0.0010354503198160383,7.111174942923118e-07,-6.1221762397129005e-06
1773337773156619491,-0.0010421269375558038,-1.1568805679051293e-07,6.922667545652821e-05
1773337773198515124,-0.001048562963353652,7.261618100763615e-07,7.08764110618008e-05
1773337773238989828,-0.0010542853987469544,7.327266115646019e-07,-8.619227032722956e-06
1773337773279022733,-0.0010607235467010906,-2.1356168684188967e-07,-3.376181625225088e-07
1773337773319957561,-0.00106763704469103,6.288352567533846e-07,2.35703033833555e-06
1773337773360049749,-0.0010733591928884713,5.161908401537051e-07,-2.8551590593230427e-06
1773337773400150533,-0.0010797972131849287,-7.246982030370873e-08,-1.3854652087448055e-06
1773337773442622211,-0.0010862333331966112,7.693800481169449e-07,6.965389070228373e-05
1773337773484315149,-0.0010924327043884852,2.996550640814704e-07,-1.5339157846362258e-06
1773337773525656961,-0.0010986314388553057,4.2597613630245224e-07,-1.310967603547418e-06
1773337773567283964,-0.0011048308989249859,4.330880071386412e-07,-4.7625271642110545e-07
1773337773607309956,-0.0011107904615567763,5.59135533809194e-07,6.788468550852644e-05
1773337773646522843,-0.0011169894695563852,4.470381838383491e-07,6.794525122580207e-05
1773337773686929487,-0.0011234266077028165,8.120512156442455e-07,6.27735910828044e-05
1773337773726651872,-0.0011293880607289957,-1.3478414667196693e-07,-8.859292563629965e-07
