t_ns,x,y,yaw
1773338360556429987,-6.9999999989792015e-06,-1.1858664084566267e-10,3.388189738617467e-05
1773338360556773000,-6.9999999989792015e-06,-1.1858664084566267e-10,3.388189738617467e-05
1773338360557181607,-2.0999999990910695e-05,-5.929332041602456e-10,3.388189738617467e-05
1773338360584838187,-2.0999999990910695e-05,-5.929332041602456e-10,3.388189738617467e-05
1773338360625000399,-3.4999999982842186e-05,-1.0672797674748286e-09,3.388189738617467e-05
1773338360665630772,-3.4999999982842186e-05,-1.0672797674748286e-09,3.388189738617467e-05
1773338360705268446,-4.199999998188356e-05,-1.1858664083204913e-09,-3.009270892369298e-16
1773338360746989084,-4.899999998092494e-05,-1.304453049166154e-09,3.388189738617467e-05
1773338360791592579,-5.599999997990414e-05,-1.4230396900118168e-09,0.0
1773338360833676389,-6.299999997888335e-05,-1.5416263308574796e-09,3.388189738617467e-05
1773338360874051175,-6.999999997786255e-05,-1.6602129717031423e-09,0.0
1773338360913696253,-7.699999997684175e-05,-1.778799612548805e-09,3.388189738617467e-05
1773338360953626934,-7.699999997684175e-05,-1.778799612548805e-09,3.388189738617467e-05
1773338360994210809,-9.099999996877325e-05,-2.2531461758633882e-09,3.388189738617467e-05
1773338361035944462,-9.099999996877325e-05,-2.2531461758633882e-09,3.388189738617467e-05
1773338361076423267,-9.799999996781462e-05,-2.371732816709051e-09,-3.009270892369298e-16
1773338361118922367,-0.00010499999996685598,-2.4903194575547137e-09,3.388189738617467e-05
1773338361159976647,-0.00011199999996583519,-2.6089060984003765e-09,0.0
1773338361200034591,-0.00011899999996481439,-2.727492739246039e-09,3.388189738617467e-05
1773338361241495144,-0.00012599999996379358,-2.846079380091702e-09,0.0
1773338361281957788,-0.0001329999999627728,-2.9646660209373647e-09,3.388189738617467e-05
1773338361322512417,-0.00013999999996181417,-3.0832526617830275e-09,-3.009270892369298e-16
1773338361364462712,-0.00014699999996085555,-3.20183930262869e-09,3.388189738617467e-05
1773338361408901114,-0.00014699999996085555,-3.20183930262869e-09,3.388189738617467e-05
1773338361451985948,-0.00015399999995983476,-3.320425943474353e-09,0.0
1773338361492246157,-0.00016099999995881396,-3.4390125843200157e-09,3.388189738617467e-05
1773338361534832022,-0.00016799999995779317,-3.5575992251656784e-09,0.0
1773338361581488405,-0.00017499999995677237,-3.676185866011341e-09,3.388189738617467e-05
1773338361627753142,-0.00018199999995575157,-3.7947725068570035e-09,0.0
1773338361668975422,-0.00018899999995473078,-3.913359147702666e-09,3.388189738617467e-05
1773338361710104865,-0.00019599999995377216,-4.031945788548328e-09,-3.009270892369298e-16
1773338361750151478,-0.00019599999995377216,-4.031945788548328e-09,-3.009270892369298e-16
1773338361791337679,-0.00020299999995281354,-4.1505324293939905e-09,3.388189738617467e-05
1773338361834517023,-0.00020999999995179275,-4.269119070239653e-09,0.0
1773338361875800991,-0.00021699999995077195,-4.387705711085315e-09,3.388189738617467e-05
1773338361916088571,-0.00023099999994270344,-4.862052274399898e-09,3.388189738617467e-05
1773338361956499296,-0.00023099999994270344,-4.862052274399898e-09,3.388189738617467e-05
1773338361998319114,-0.00023799999994168265,-4.980638915245561e-09,0.0
1773338362038501154,-0.0002449999999406618,-5.099225556091223e-09,3.388189738617467e-05
1773338362080717646,-0.0002519999999397032,-5.217812196936885e-09,-3.009270892369298e-16
1773338362123001116,-0.00025899999993874454,-5.336398837782548e-09,3.388189738617467e-05
1773338362164846582,-0.0002659999999377237,-5.45498547862821e-09,0.0
1773338362205790251,-0.0002659999999377237,-5.45498547862821e-09,0.0
1773338362247493767,-0.0002729999999367029,-5.573572119473872e-09,3.388189738617467e-05
1773338362286987758,-0.00027999999993568207,-5.692158760319535e-09,0.0
1773338362328132280,-0.00028699999993466124,-5.810745401165197e-09,3.388189738617467e-05
1773338362367908968,-0.0002939999999336404,-5.929332042010859e-09,0.0
1773338362411114463,-0.0003009999999326196,-6.047918682856522e-09,3.388189738617467e-05
1773338362453276862,-0.00030799999993166095,-6.166505323702184e-09,-3.009270892369298e-16
1773338362494160317,-0.00030799999993166095,-6.166505323702184e-09,-3.009270892369298e-16
1773338362534886653,-0.0003149999999307023,-6.285091964547846e-09,3.388189738617467e-05
1773338362576861235,-0.0003289999999226338,-6.7594385278624295e-09,3.388189738617467e-05
1773338362624276653,-0.0003289999999226338,-6.7594385278624295e-09,3.388189738617467e-05
1773338362668623029,-0.000335999999921613,-6.878025168708092e-09,0.0
1773338362710554228,-0.00034299999992059215,-6.996611809553754e-09,3.388189738617467e-05
1773338362751320049,-0.00034999999991957133,-7.1151984503994165e-09,0.0
1773338362794565710,-0.0003569999999185505,-7.233785091245079e-09,3.388189738617467e-05
1773338362837781695,-0.00036399999991759186,-7.352371732090741e-09,-3.009270892369298e-16
1773338362882106440,-0.0003709999999166332,-7.470958372936403e-09,3.388189738617467e-05
1773338362927676395,-0.0003709999999166332,-7.470958372936403e-09,3.388189738617467e-05
1773338362969104897,-0.0003849999999085647,-7.945304936250986e-09,3.388189738617467e-05
1773338363009272801,-0.0003849999999085647,-7.945304936250986e-09,3.388189738617467e-05
1773338363049099474,-0.0003919999999075439,-8.063891577096648e-09,0.0
1773338363089631340,-0.00039899999990652307,-8.18247821794231e-09,3.388189738617467e-05
1773338363132223037,-0.0004059999999055644,-8.301064858787973e-09,-3.009270892369298e-16
1773338363173090922,-0.0004129999999046058,-8.419651499633635e-09,3.388189738617467e-05
1773338363213456391,-0.00041999999990358495,-8.538238140479297e-09,0.0
1773338363253893427,-0.00042699999990256413,-8.65682478132496e-09,3.388189738617467e-05
1773338363294030552,-0.00042699999990256413,-8.65682478132496e-09,3.388189738617467e-05
1773338363334284599,-0.0004339999999015433,-8.775411422170622e-09,0.0
1773338363374871219,-0.0004409999999005225,-8.893998063016284e-09,3.388189738617467e-05
1773338363416700645,-0.00044799999989950166,-9.012584703861947e-09,0.0
1773338363458577891,-0.00045499999989848084,-9.131171344707609e-09,3.388189738617467e-05
1773338363499092885,-0.0004619999998975222,-9.249757985553271e-09,-3.009270892369298e-16
1773338363539001104,-0.00046899999989656355,-9.368344626398934e-09,3.388189738617467e-05
1773338363579502442,-0.00047599999989554273,-9.486931267244596e-09,0.0
1773338363619820481,-0.0004829999998945219,-9.605517908090258e-09,3.388189738617467e-05
1773338363659471831,-0.0004899999998935011,-9.72410454893592e-09,0.0
1773338363699082674,-0.0004899999998935011,-9.72410454893592e-09,0.0
1773338363739641331,-0.0004969999998924803,-9.842691189781583e-09,3.388189738617467e-05
1773338363781221132,-0.0005039999998914594,-9.961277830627245e-09,0.0
1773338363824453768,-0.0005109999998904386,-1.0079864471472908e-08,3.388189738617467e-05
1773338363864989512,-0.00051799999988948,-1.019845111231857e-08,-3.009270892369298e-16
1773338363904433818,-0.0005249999998885214,-1.0317037753164232e-08,3.388189738617467e-05
1773338363944421097,-0.0005319999998875006,-1.0435624394009895e-08,0.0
1773338363983910750,-0.0005389999998864798,-1.0554211034855557e-08,3.388189738617467e-05
1773338364025203734,-0.0005389999998864798,-1.0554211034855557e-08,3.388189738617467e-05
1773338364065942664,-0.000545999999885459,-1.067279767570122e-08,0.0
1773338364109965765,-0.0005529999998844381,-1.0791384316546882e-08,3.388189738617467e-05
1773338364150743490,-0.0005599999998834173,-1.0909970957392544e-08,0.0
1773338364192370570,-0.0005669999998823965,-1.1028557598238206e-08,3.388189738617467e-05
1773338364239708430,-0.0005739999998814379,-1.1147144239083869e-08,-3.009270892369298e-16
1773338364281666511,-0.0005809999998804793,-1.1265730879929531e-08,3.388189738617467e-05
1773338364321689549,-0.0005879999998794585,-1.1384317520775194e-08,0.0
1773338364361982540,-0.0005949999998784377,-1.1502904161620856e-08,3.388189738617467e-05
1773338364402874942,-0.0006019999998774168,-1.1621490802466518e-08,0.0
1773338364444591724,-0.0006019999998774168,-1.1621490802466518e-08,0.0
1773338364486045405,-0.000608999999876396,-1.174007744331218e-08,3.388189738617467e-05
1773338364526005212,-0.0006159999998753752,-1.1858664084157843e-08,0.0
1773338364565264566,-0.0006229999998743544,-1.1977250725003505e-08,3.388189738617467e-05
1773338364606229657,-0.0006299999998733958,-1.2095837365849168e-08,-3.009270892369298e-16
1773338364646329621,-0.0006369999998724372,-1.221442400669483e-08,3.388189738617467e-05
1773338364686183496,-0.0006439999998714164,-1.2333010647540492e-08,0.0
1773338364726284342,-0.0006509999998703956,-1.2451597288386155e-08,3.388189738617467e-05
1773338364769210686,-0.0006579999998693747,-1.2570183929231817e-08,0.0
1773338364810693843,-0.0006579999998693747,-1.2570183929231817e-08,0.0
1773338364851234585,-0.0006719999998694042,-1.2570183929229711e-08,-3.0093038881154714e-16
1773338364893462530,-0.0006719999998694042,-1.2570183929229711e-08,-3.0093038881154714e-16
1773338364932256188,-0.0006789999998684456,-1.2688770570075373e-08,3.388189738617467e-05
1773338364973510589,-0.0006859999998674248,-1.2807357210921036e-08,0.0
1773338365016028185,-0.000692999999866404,-1.2925943851766698e-08,3.388189738617467e-05
1773338365056524503,-0.0006999999998653832,-1.304453049261236e-08,0.0
1773338365099402806,-0.0007069999998643624,-1.3163117133458023e-08,3.388189738617467e-05
1773338365141608928,-0.0007139999998633415,-1.3281703774303685e-08,0.0
1773338365184494745,-0.0007139999998633415,-1.3281703774303685e-08,0.0
1773338365228808880,-0.000727999999863371,-1.3281703774301579e-08,-3.0093038881154714e-16
1773338365269093195,-0.0007349999998624124,-1.3400290415147241e-08,3.388189738617467e-05
1773338365311047449,-0.0007419999998613916,-1.3518877055992904e-08,0.0
1773338365350956149,-0.0007419999998613916,-1.3518877055992904e-08,0.0
1773338365393834071,-0.0007489999998603708,-1.3637463696838566e-08,3.388189738617467e-05
1773338365435757966,-0.00075599999985935,-1.3756050337684228e-08,0.0
1773338365475586895,-0.0007629999998583292,-1.387463697852989e-08,3.388189738617467e-05
1773338365516088734,-0.0007699999998573083,-1.3993223619375553e-08,0.0
1773338365557404031,-0.0007699999998573083,-1.3993223619375553e-08,0.0
1773338365597829665,-0.0007839999998573378,-1.3993223619373447e-08,-3.0093038881154714e-16
1773338365638561833,-0.0007909999998563792,-1.411181026021911e-08,3.388189738617467e-05
1773338365680046973,-0.0007979999998553584,-1.4230396901064772e-08,0.0
1773338365720504638,-0.0007979999998553584,-1.4230396901064772e-08,0.0
1773338365763336763,-0.0008049999998543376,-1.4348983541910434e-08,3.388189738617467e-05
1773338365802689565,-0.0008119999998533168,-1.4467570182756096e-08,0.0
1773338365843627624,-0.000818999999852296,-1.4586156823601759e-08,3.388189738617467e-05
1773338365884636709,-0.0008259999998512751,-1.4704743464447421e-08,0.0
1773338365924700103,-0.0008259999998512751,-1.4704743464447421e-08,0.0
1773338365964625836,-0.0008399999998513046,-1.4704743464445315e-08,-3.0093038881154714e-16
1773338366005254066,-0.000846999999850346,-1.4823330105290977e-08,3.388189738617467e-05
1773338366046945760,-0.0008539999998493252,-1.494191674613664e-08,0.0
1773338366090174880,-0.0008539999998493252,-1.494191674613664e-08,0.0
1773338366131769369,-0.0008609999998483044,-1.5060503386982304e-08,3.388189738617467e-05
1773338366172280997,-0.0008679999998472836,-1.5179090027827966e-08,0.0
1773338366213276365,-0.0008749999998462628,-1.5297676668673628e-08,3.388189738617467e-05
1773338366253728159,-0.0008819999998452419,-1.541626330951929e-08,0.0
1773338366295070448,-0.0008819999998452419,-1.541626330951929e-08,0.0
1773338366335805431,-0.0008959999998452714,-1.5416263309517183e-08,-3.0093038881154714e-16
1773338366377981427,-0.0008959999998452714,-1.5416263309517183e-08,-3.0093038881154714e-16
1773338366420768526,-0.0009099999998453009,-1.5416263309515075e-08,0.0
