Estimator,Phase,ATE_RMSE_m,ATE_Mean_m,Yaw_Mean_rad,Yaw_Max_rad,Samples
wheel,GLOBAL (1-4),0.6319466103982746,0.5322130683209663,0.1475423687023045,0.48324746528221496,4527
ekf,GLOBAL (1-4),0.6857020411548784,0.5849040596697633,0.1305438653265197,0.35778989449166687,4527
wheel,straight,0.5381052283118001,0.5381052283118001,0.0792879900656219,0.0830035285222137,629
ekf,straight,0.6161555427891658,0.6161555427891658,0.0931681889696687,0.0953599687944648,629
wheel,square,0.4118073796614033,0.4118073796614033,0.1282829802824739,0.2774810823533724,2202
ekf,square,0.4599301777793345,0.4599301777793345,0.1446380613179902,0.3577898944916668,2202
wheel,cw_rotation,0.8259110735908269,0.8259110735908269,0.122898005186436,0.268565814957113,794
ekf,cw_rotation,0.9067440033156656,0.9067440033156656,0.0769675859782032,0.2438696230025256,794
wheel,arc,0.8876574718513961,0.8876574718513961,0.2638492446386013,0.4832474652822149,902
ekf,arc,0.9246099919253856,0.9246099919253856,0.1693614336832873,0.3531374679351504,902
