estimator,phase,phase_name,t0_s,t1_s,duration_s,n,ate_rmse_m,ate_mean_m,ate_max_m,yaw_abs_mean_rad,yaw_abs_max_rad
wheel,1,straight,0.0,36.194571681,36.194571681,629,0.5381052283118001,0.506934110804202,0.8321036360933066,0.07928799006562197,0.08300352852221371
wheel,2,square,36.194571681,164.150876444,127.956304763,2202,0.41180737966140335,0.29824991822437996,0.8504776435867453,0.12828298028247398,0.27748108235337243
wheel,3,cw_rotation,164.150876444,210.427351254,46.276474809999996,794,0.8259110735908269,0.8258885545268452,0.8335446829073136,0.12289800518643601,0.26856581495711307
wheel,4,arc,210.427351254,264.750778721,54.323427467000016,902,0.8876574718513961,0.8624891046216978,1.25138114649124,0.2638492446386013,0.48324746528221496
wheel,0,stop,264.750778721,267.61215444000004,2.861375719000023,47,1.2497703885979188,1.2497703885957077,1.249775901002684,0.41036821390440326,0.41042207123572405
ekf,1,straight,0.0,36.194571681,36.194571681,629,0.6161555427891658,0.5879302874537848,0.9194263385181786,0.0931681889696687,0.09535996879446484
ekf,2,square,36.194571681,164.150876444,127.956304763,2202,0.4599301777793345,0.3375362246095296,0.9423654031785625,0.14463806131799026,0.35778989449166687
ekf,3,cw_rotation,164.150876444,210.427351254,46.276474809999996,794,0.9067440033156655,0.9067237479886463,0.913897592017896,0.07696758597820329,0.24386962300252568
ekf,4,arc,210.427351254,264.750778721,54.323427467000016,902,0.9246099919253856,0.9033914687621046,1.2710367903353985,0.1693614336832873,0.35313746793515044
ekf,0,stop,264.750778721,267.61215444000004,2.861375719000023,47,1.2665779477596004,1.2665779476363968,1.266611923960518,0.352341729965673,0.35305392402505964
