Estimator,Phase,ATE_RMSE_m,ATE_Mean_m,Yaw_Mean_rad,Yaw_Max_rad,Samples
wheel,GLOBAL (1-4),0.6194994272107653,0.5257203613032339,0.22150718453628104,0.4585727347527979,4153
ekf,GLOBAL (1-4),0.6251026112090309,0.5295065808937434,0.15948394570091154,0.44505614625563883,4153
wheel,square,0.3756107425942311,0.2824832528204889,0.099456084607202,0.2720017707779614,2171
ekf,square,0.374377565501152,0.2811590469919025,0.0639885707498545,0.173582845142143,2171
wheel,straight,0.679409737165668,0.6596167507117613,0.3306838196838152,0.3927203713780702,585
ekf,straight,0.6835120046618511,0.6629300780540117,0.2252505678215593,0.2856200677492322,585
wheel,cw_rotation,0.9181796214481076,0.9181521158098388,0.387700715774978,0.4585727347527979,816
ekf,cw_rotation,0.9283524812909758,0.9283237935737424,0.2257707565883347,0.2857183211479652,816
wheel,circular,0.7531663499110144,0.7486361324472295,0.3342278125809391,0.4585052080139609,581
ekf,circular,0.7671713795229039,0.7630262103520231,0.3570002062758313,0.4450561462556388,581
