t_ns,x,y,yaw
1773154006124462841,-0.0014941680318618616,-1.931153222071415e-07,-3.6260186095076575e-06
1773154006190157969,-0.0015001276970345305,7.673966996148216e-07,-8.149174198406913e-06
1773154006249841645,-0.0015063271107789644,1.784625029296543e-07,5.8193564031957014e-05
1773154006304963819,-0.0015130032992204463,-1.715062018272928e-07,6.734976550114718e-05
1773154006358206231,-0.0015192015808355246,4.316517163311217e-07,6.630618672912394e-05
1773154006410482924,-0.0015256389218543684,5.582463247798572e-07,-5.89344552551336e-06
1773154006467843142,-0.0015313611551569292,2.0718348288079222e-07,-3.6506940455008285e-06
1773154006533854023,-0.0015375595970918605,6.911321903317383e-07,-8.753551768308822e-06
1773154006586046194,-0.0015442357954237283,-1.6464154316510974e-08,-5.168525320354738e-06
1773154006640819333,-0.0015504339638258713,7.059029753262618e-07,-8.911333927566623e-06
1773154006692960387,-0.0015566342634930174,-1.2144963345116682e-07,-1.085037331330512e-05
1773154006749137562,-0.0015621167117889532,1.232600357442405e-07,6.701677723521903e-05
1773154006805945528,-0.001569030742399726,7.27238561420581e-07,6.0113764200502736e-05
1773154006861035631,-0.0015749918231249248,-1.0038759368416634e-07,6.266877165639967e-05
1773154006914124611,-0.001581428527418715,6.222530710210254e-07,6.178054990246136e-05
1773154006981026960,-0.0015871509917015044,1.519810195798266e-07,-5.301014504736596e-06
1773154007035106648,-0.0015933492497631242,7.551389373497962e-07,-9.810320305049837e-06
1773154007097250120,-0.0015997876894674789,4.726907045780685e-08,-1.0440975456623002e-05
1773154007147009346,-0.0016062246300775262,1.738636723029805e-07,-2.0943837480910613e-06
1773154007199007889,-0.0016121844229078745,7.767480561758655e-07,-3.2787323307104076e-06
1773154007251543324,-0.0016188604084769436,6.651977747760795e-07,-6.070673170523978e-06
1773154007307281031,-0.0016255366113631692,7.681064355441249e-08,-4.742995706856727e-06
1773154007365898134,-0.0016314963335331415,6.796950262619635e-07,6.518517944659836e-05
1773154007419154784,-0.0016372187598177289,4.478414008970393e-07,-5.471553120813155e-06
1773154007476059284,-0.001643656374369361,3.360175871539479e-07,-4.0625943305590894e-06
1773154007537289656,-0.0016496163138564894,4.6206512003961773e-07,6.482763987106538e-05
1773154007606652112,-0.0016565307646568303,3.507883725369161e-07,-5.0620470220591285e-06
1773154007658002250,-0.0016622527289809604,3.573531662562604e-07,6.437801005525172e-05
1773154007713698217,-0.00166892829969649,4.842213047176323e-07,6.455535163261637e-05
1773154007772592398,-0.0016748887528053502,4.910596327225059e-07,6.49028968646305e-05
1773154007832475774,-0.0016813260892698367,4.984450277446589e-07,6.421113998841857e-05
1773154007890527600,-0.0016872869617865942,3.8607414931495684e-07,-4.67830812616255e-06
1773154007944002315,-0.0016932468070598881,5.121216806468475e-07,-5.100337137678009e-06
1773154008002991417,-0.001699446220022651,5.192335507061467e-07,-4.7741941336615985e-06
1773154008066272917,-0.0017051680574707731,2.8737991563010207e-07,6.413587142179834e-05
1773154008128385460,-0.0017113669097048867,4.1370098979330813e-07,-5.1628413050395295e-06
1773154008194731369,-0.0017173270611731426,5.397485261749815e-07,-5.2347332074645865e-06
