Estimator,Phase,ATE_RMSE_m,ATE_Mean_m,Yaw_Mean_rad,Yaw_Max_rad,Samples
wheel,GLOBAL (1-4),0.6194994272107653,0.5257203613032339,0.22150718453628104,0.4585727347527979,4153
ekf,GLOBAL (1-4),0.6251026112090309,0.5295065808937434,0.15948394570091154,0.44505614625563883,4153
orb,GLOBAL (1-4),1.2076763523316423,0.9293790243099136,0.5733709985692665,2.054259317369501,4153
wheel,square,0.3756107425942311,0.2824832528204889,0.099456084607202,0.2720017707779614,2171
ekf,square,0.374377565501152,0.2811590469919025,0.0639885707498545,0.173582845142143,2171
orb,square,1.4990045152483369,1.1579570077881884,0.5539110679283601,2.054259317369501,2171
wheel,straight,0.679409737165668,0.6596167507117613,0.3306838196838152,0.3927203713780702,585
ekf,straight,0.6835120046618511,0.6629300780540117,0.2252505678215593,0.2856200677492322,585
orb,straight,0.3655514664103383,0.3300694542154212,0.1487330819015206,0.4059795926069123,585
wheel,cw_rotation,0.9181796214481076,0.9181521158098388,0.387700715774978,0.4585727347527979,816
ekf,cw_rotation,0.9283524812909758,0.9283237935737424,0.2257707565883347,0.2857183211479652,816
orb,cw_rotation,0.6254940396476559,0.6153321498791968,0.9347384068287518,1.0926269925824204,816
wheel,circular,0.7531663499110144,0.7486361324472295,0.3342278125809391,0.4585052080139609,581
ekf,circular,0.7671713795229039,0.7630262103520231,0.3570002062758313,0.4450561462556388,581
orb,circular,1.1596942106462962,1.1197672272520969,0.5661160683322607,1.160241116366138,581
