t_ns,x,y,yaw
1773501967089448399,-0.0008025160949632807,4.438756405231911e-07,-3.001021163519666e-06
1773501967134532415,-0.0008087151554058354,-1.4505856198864838e-07,7.103175022366239e-05
1773501967179375474,-0.0008151515861668374,8.160005249083701e-07,2.347401295935271e-06
1773501967224386482,-0.0008213502689723832,8.2311238292588e-07,6.321406552912712e-05
1773501967270034467,-0.0008273118397658553,-1.2372297744810838e-07,4.976600518042734e-07
1773501967317415327,-0.0008344632658118759,8.381567045366019e-07,6.735908901317487e-05
1773501967362191610,-0.0008406632638384175,1.3001330413597293e-07,6.400475074704627e-05
1773501967405382147,-0.0008461466596087266,-1.0211386444871133e-07,1.9071581374532658e-06
1773501967450623672,-0.0008528217485830265,9.784279728795326e-07,-2.4253609004010614e-06
1773501967496405390,-0.0008592592651481377,1.513488774116131e-07,6.815138918298771e-05
1773501967540467760,-0.0008656966388291553,5.163619131019578e-07,6.664117938644094e-05
1773501967584506004,-0.0008716574505759234,4.636339361561933e-08,6.957040605578226e-05
1773501967628797978,-0.0008778557557444604,6.495213121624787e-07,-3.0914628594253008e-06
1773501967678223133,-0.0008850090349683383,1.808904644922322e-07,6.288913405593012e-05
1773501967723559838,-0.0008907310752888728,-2.893815939409736e-07,1.783470025263109e-06
1773501967768955916,-0.0008971674870507737,7.908867059941824e-07,6.597436315067453e-05
1773501967813769609,-0.0009033671743279957,-3.646591288281142e-08,-1.909177567311347e-06
1773501967858775638,-0.000909803878621786,6.861747518223804e-07,-3.0730999741836706e-06
1773501967902894715,-0.0009162421868957751,-3.793227572915797e-07,6.85717087960115e-05
1773501967947544037,-0.0009224400301038548,4.622535803395478e-07,7.173589487543401e-05
1773501967992431941,-0.0009284001010213489,9.459287554471883e-07,-5.559055416934788e-06
1773501968040455519,-0.0009353155517390087,-1.1902168237659902e-07,6.874634273302989e-05
1773501968085335408,-0.00094127484005634,8.414903332302466e-07,2.4882578603609135e-06
1773501968129245299,-0.0009474736596282798,7.293929801518434e-07,-1.8623365470514128e-06
1773501968173648805,-0.0009539116654799935,3.7915074615914945e-07,6.307612225056199e-05
1773501968218158493,-0.0009603493180298278,2.8908506339783034e-08,1.0773248653320716e-06
1773501968262646739,-0.0009665469302576789,9.896940535130448e-07,7.10455007349646e-05
1773501968307739392,-0.0009729851009836029,6.394518222394645e-07,6.265396157963403e-05
1773501968351923793,-0.0009787075470489624,-3.0765708290806346e-07,-1.1438643755020563e-06
1773501968400141409,-0.0009856207243991962,7.731582821021479e-07,6.784717149033496e-05
1773501968444502364,-0.0009918204397842347,6.501487704018093e-08,-1.5907579598235273e-06
1773501968488836719,-0.000998495812181709,5.495106522852962e-07,3.360650822174626e-07
1773501968533042511,-0.0010039790521865226,5.558019078346627e-07,-3.6953095739725144e-07
1773501968577053433,-0.001011132316965657,3.25589486629136e-07,6.977481903433607e-05
1773501968620791778,-0.001016853904434449,3.3215427413336297e-07,-7.984168980054724e-07
1773501968666936315,-0.00102329133511277,3.3953967070929523e-07,-7.972616355021853e-07
1773501968715483695,-0.0010294901873468835,4.6586074487250134e-07,-1.5458296960230865e-06
1773501968759409556,-0.0010354503198160383,7.111174942923118e-07,-6.1221762397129005e-06
1773501968803568629,-0.0010421269375558038,-1.1568805679051293e-07,6.922667545652821e-05
1773501968848177875,-0.001048562963353652,7.261618100763615e-07,7.08764110618008e-05
1773501968892973274,-0.0010542853987469544,7.327266115646019e-07,-8.619227032722956e-06
1773501968937897768,-0.0010607235467010906,-2.1356168684188967e-07,-3.376181625225088e-07
1773501968982991753,-0.00106763704469103,6.288352567533846e-07,2.35703033833555e-06
1773501969027964879,-0.0010733591928884713,5.161908401537051e-07,-2.8551590593230427e-06
1773501969077119461,-0.0010797972131849287,-7.246982030370873e-08,-1.3854652087448055e-06
1773501969120746465,-0.0010862333331966112,7.693800481169449e-07,6.965389070228373e-05
1773501969166566867,-0.0010924327043884852,2.996550640814704e-07,-1.5339157846362258e-06
1773501969211135677,-0.0010986314388553057,4.2597613630245224e-07,-1.310967603547418e-06
1773501969256270820,-0.0011048308989249859,4.330880071386412e-07,-4.7625271642110545e-07
1773501969300941933,-0.0011107904615567763,5.59135533809194e-07,6.788468550852644e-05
1773501969346823711,-0.0011169894695563852,4.470381838383491e-07,6.794525122580207e-05
1773501969390112745,-0.0011234266077028165,8.120512156442455e-07,6.27735910828044e-05
1773501969439312743,-0.0011293880607289957,-1.3478414667196693e-07,-8.859292563629965e-07
1773501969483530247,-0.001136539745863061,8.270955395856361e-07,6.52707897473885e-05
1773501969528845030,-0.0011425009253564517,1.1867859946125048e-07,-3.0422737041361525e-06
1773501969574257218,-0.0011491762650917526,3.647559474647563e-07,4.809661168550424e-07
1773501969619848175,-0.0011544211667413027,6.09192097912427e-07,-1.7954479439118316e-06
1773501969664474634,-0.0011610969638827034,4.976418134050822e-07,-3.28893948773454e-06
