t_ns,x,y,yaw
1774483200562395827,0.0,0.0,0.0
1774483200565083410,0.0,0.0,0.0
1774483200565968921,0.0,0.0,0.0
1774483200566698016,0.0,0.0,0.0
1774483200567493466,0.0,0.0,0.0
1774483200568214245,0.0,0.0,0.0
1774483200568926778,0.0,0.0,0.0
1774483200569644992,0.0,0.0,0.0
1774483200570376250,0.0,0.0,0.0
1774483200571114031,0.0,0.0,0.0
1774483200571863825,0.0,0.0,0.0
1774483200612676779,0.0,0.0,0.0
1774483200656979350,0.0,0.0,0.0
1774483200703730821,0.0,0.0,0.0
1774483200795963931,0.0,0.0,0.0
1774483200841956190,0.0,0.0,0.0
1774483200886390231,0.0,0.0,0.0
1774483200932931342,0.0,0.0,0.0
1774483200975642160,0.0,0.0,0.0
1774483201021491869,0.0,0.0,0.0
1774483201065377127,0.0,0.0,0.0
1774483201113043455,0.0,0.0,0.0
1774483201166299427,0.0,0.0,0.0
1774483201202727887,0.0,0.0,0.0
1774483201247963770,0.0,0.0,0.0
1774483201290533341,0.0,0.0,0.0
1774483201343182631,0.0,0.0,0.0
1774483201380188998,0.0,0.0,0.0
1774483201425392590,0.0,0.0,0.0
1774483201474764868,0.0,0.0,0.0
1774483201521684889,0.0,0.0,0.0
1774483201565590597,0.0,0.0,0.0
1774483201612329574,0.0,0.0,0.0
1774483201656327086,0.0,0.0,0.0
1774483201703002993,0.0,0.0,0.0
1774483201748722625,0.0,0.0,0.0
1774483201793057448,0.0,0.0,0.0
1774483201841351207,0.0,0.0,0.0
1774483201886221466,0.0,0.0,0.0
1774483201929658394,0.0,0.0,0.0
1774483201975844161,0.0,0.0,0.0
1774483202020042475,0.0,0.0,0.0
1774483202065295852,0.0,0.0,0.0
1774483202110514392,0.0,0.0,0.0
1774483202160310636,0.0,0.0,0.0
1774483202204366819,0.0,0.0,0.0
1774483202248054534,0.0,0.0,0.0
1774483202292174248,0.0,0.0,0.0
1774483202338042453,0.0,0.0,0.0
1774483202382489298,0.0,0.0,0.0
1774483202426794705,0.0,0.0,0.0
1774483202472354234,0.0,0.0,0.0
1774483202520865287,0.0,0.0,0.0
1774483202565529876,0.0,0.0,0.0
1774483202609452286,0.0,0.0,0.0
1774483202653324240,0.0,0.0,0.0
1774483202699576684,0.0,0.0,0.0
1774483202744075158,0.0,0.0,0.0
1774483202789482527,0.0,0.0,0.0
1774483202835676209,0.0,0.0,0.0
1774483202886347654,0.0,0.0,0.0
1774483202931207775,0.0,0.0,0.0
1774483202976624111,0.0,0.0,0.0
1774483203020036192,0.0,0.0,0.0
1774483203064656377,0.0,0.0,0.0
1774483203110526876,0.0,0.0,0.0
1774483203155608147,0.0,0.0,0.0
1774483203198698116,0.0,0.0,0.0
1774483203248097757,0.0,0.0,0.0
1774483203291322252,0.0,0.0,0.0
1774483203337400676,0.0,0.0,0.0
1774483203383034536,0.0,0.0,0.0
1774483203428117821,0.0,0.0,0.0
1774483203474388200,0.0,0.0,0.0
1774483203530932606,0.0,0.0,0.0
1774483203565658694,0.0,0.0,0.0
1774483203612313302,0.0,0.0,0.0
1774483203657927425,0.0,0.0,0.0
1774483203702811121,0.0,0.0,0.0
1774483203747412139,0.0,0.0,0.0
