t_ns,x,y,yaw
1774480123284467074,-6.9999999989792015e-06,1.1858664084566267e-10,-3.388189738617467e-05
1774480123328866250,-1.3999999997958403e-05,2.3717328169132534e-10,0.0
1774480123373537915,-1.3999999997958403e-05,2.3717328169132534e-10,0.0
1774480123418369925,-2.0999999996937605e-05,3.5575992253698804e-10,-3.388189738617467e-05
1774480123462587705,-2.7999999995916806e-05,4.743465633826507e-10,0.0
1774480123507826120,-4.199999999600853e-05,4.743465633826507e-10,0.0
1774480123553037875,-4.199999999600853e-05,4.743465633826507e-10,0.0
1774480123601551955,-4.899999999498773e-05,5.929332042283133e-10,-3.388189738617467e-05
1774480123947979517,-5.5999999993966936e-05,7.11519845073976e-10,0.0
1774480123949947839,-6.299999999294614e-05,8.301064859196386e-10,-3.388189738617467e-05
1774480123950954629,-6.999999999192534e-05,9.486931267653014e-10,0.0
1774480123952103649,-6.999999999192534e-05,9.486931267653014e-10,0.0
1774480123953761500,-8.399999999201706e-05,9.486931267653014e-10,0.0
1774480123953822035,-8.399999999201706e-05,9.486931267653014e-10,0.0
1774480123954571534,-9.099999999099626e-05,1.0672797676109641e-09,-3.388189738617467e-05
1774480123963471051,-9.799999998997546e-05,1.1858664084566269e-09,0.0
1774480124008141353,-0.00010499999998895467,1.3044530493022896e-09,-3.388189738617467e-05
1774480124054482301,-0.00011199999998793387,1.4230396901479524e-09,0.0
1774480124099351141,-0.00011899999998691308,1.5416263309936151e-09,-3.388189738617467e-05
1774480124145177808,-0.00012599999998589228,1.6602129718392779e-09,0.0
1774480124189672606,-0.00013299999998493366,1.778799612687047e-09,-3.38818973864756e-05
1774480124234198152,-0.00013999999998397505,1.8973862535348164e-09,0.0
1774480124283226823,-0.00013999999998397505,1.8973862535348164e-09,0.0
1774480124327628974,-0.00015399999998394243,1.8973862535348164e-09,0.0
1774480124373427748,-0.00015399999998394243,1.8973862535348164e-09,0.0
1774480124418628542,-0.0001679999999839098,1.8973862535348164e-09,0.0
1774480124463405407,-0.0001679999999839098,1.8973862535348164e-09,0.0
1774480124507697609,-0.000174999999982889,2.015972894380479e-09,-3.388189738617467e-05
1774480124552396355,-0.00018199999998186822,2.134559535226142e-09,0.0
1774480124600898082,-0.0001889999999809096,2.253146176073911e-09,-3.38818973864756e-05
1774480124644717502,-0.00019599999997995098,2.3717328169216802e-09,0.0
1774480124689670513,-0.00019599999997995098,2.3717328169216802e-09,0.0
1774480124734077353,-0.00020999999997991836,2.3717328169216802e-09,0.0
1774480124777183563,-0.00020999999997991836,2.3717328169216802e-09,0.0
1774480124822055280,-0.00022399999997988574,2.3717328169216802e-09,0.0
1774480124867362015,-0.00022399999997988574,2.3717328169216802e-09,0.0
1774480124912085219,-0.00023799999997985312,2.3717328169216802e-09,0.0
1774480124961860072,-0.00023799999997985312,2.3717328169216802e-09,0.0
1774480125008336999,-0.0002449999999788945,2.4903194577694494e-09,-3.38818973864756e-05
1774480125054160159,-0.00025199999997793583,2.6089060986172185e-09,0.0
1774480125099188434,-0.000258999999976915,2.7274927394628813e-09,-3.388189738617467e-05
1774480125144850386,-0.0002659999999758942,2.846079380308544e-09,0.0
1774480125189782859,-0.0002659999999758942,2.846079380308544e-09,0.0
1774480125234327301,-0.00027999999997586157,2.846079380308544e-09,0.0
1774480125280047515,-0.00027999999997586157,2.846079380308544e-09,0.0
1774480125327271435,-0.00029399999997582895,2.846079380308544e-09,0.0
1774480125371990501,-0.00029399999997582895,2.846079380308544e-09,0.0
1774480125417204139,-0.0003009999999748703,2.964666021156313e-09,-3.38818973864756e-05
1774480125462777533,-0.00030799999997391166,3.0832526620040824e-09,0.0
1774480125508768362,-0.00031499999997289084,3.201839302849745e-09,-3.388189738617467e-05
1774480125552665130,-0.00032199999997187,3.320425943695408e-09,0.0
1774480125598856362,-0.0003289999999708492,3.4390125845410706e-09,-3.388189738617467e-05
1774480125646757433,-0.00033599999996982837,3.5575992253867334e-09,0.0
1774480125691457001,-0.00033599999996982837,3.5575992253867334e-09,0.0
1774480125735274838,-0.00034999999996979575,3.5575992253867334e-09,0.0
1774480125779556590,-0.00034999999996979575,3.5575992253867334e-09,0.0
1774480125824605885,-0.0003569999999688371,3.6761858662345025e-09,-3.38818973864756e-05
1774480125868842390,-0.00036399999996787846,3.794772507082272e-09,0.0
1774480125913360272,-0.00037099999996685764,3.9133591479279344e-09,-3.388189738617467e-05
1774480125958829617,-0.0003779999999658368,4.031945788773597e-09,0.0
1774480126007541214,-0.000384999999964816,4.150532429619259e-09,-3.388189738617467e-05
1774480126051707395,-0.00039199999996379517,4.2691190704649214e-09,0.0
1774480126095424430,-0.0003989999999628365,4.387705711312691e-09,-3.38818973864756e-05
1774480126140742347,-0.0004059999999618779,4.50629235216046e-09,0.0
1774480126186799734,-0.0004059999999618779,4.50629235216046e-09,0.0
1774480126230954503,-0.00041299999996085706,4.624878993006122e-09,-3.388189738617467e-05
1774480126276455319,-0.00041999999995983624,4.7434656338517844e-09,0.0
1774480126322365294,-0.0004269999999588154,4.862052274697447e-09,-3.388189738617467e-05
1774480126371485781,-0.0004339999999577946,4.980638915543109e-09,0.0
1774480126418410831,-0.00044099999995677377,5.0992255563887714e-09,-3.388189738617467e-05
1774480126463224617,-0.00044799999995575294,5.217812197234434e-09,0.0
1774480126507606459,-0.0004549999999547943,5.336398838082203e-09,-3.38818973864756e-05
1774480126553009629,-0.0004549999999547943,5.336398838082203e-09,-3.38818973864756e-05
1774480126596286845,-0.00046199999995383566,5.454985478929972e-09,0.0
1774480126641420521,-0.00046899999995281483,5.5735721197756344e-09,-3.388189738617467e-05
1774480126685873669,-0.000475999999951794,5.692158760621297e-09,0.0
1774480126733372023,-0.0004899999999517613,5.692158760621297e-09,0.0
1774480126779157812,-0.0004899999999517613,5.692158760621297e-09,0.0
1774480126823972489,-0.0004969999999507405,5.810745401466959e-09,-3.388189738617467e-05
1774480126861855161,0.0,0.0,0.0
1774480126864783123,0.0,0.0,0.0
1774480126865673040,0.0,0.0,0.0
1774480126866427879,0.0,0.0,0.0
1774480126867144265,0.0,0.0,0.0
1774480126867884075,0.0,0.0,0.0
1774480126868629977,0.0,0.0,0.0
1774480126868660756,-0.0005039999999497197,5.9293320423126214e-09,0.0
1774480126869369828,0.0,0.0,0.0
1774480126870103727,0.0,0.0,0.0
1774480126870857173,0.0,0.0,0.0
1774480126871571064,0.0,0.0,0.0
1774480126872295325,0.0,0.0,0.0
1774480126910597857,0.0,0.0,0.0
1774480126916044170,-0.0005109999999487611,6.047918683160391e-09,-3.38818973864756e-05
1774480126956849464,0.0,0.0,0.0
1774480126961473520,-0.0005179999999478025,6.16650532400816e-09,0.0
1774480127009024343,-0.0005249999999467817,6.285091964853822e-09,-3.388189738617467e-05
1774480127013415184,0.0,0.0,0.0
1774480127049505800,0.0,0.0,0.0
1774480127053881382,-0.0005249999999467817,6.285091964853822e-09,-3.388189738617467e-05
1774480127095168063,0.0,0.0,0.0
1774480127098124119,-0.0005319999999457609,6.4036786056994844e-09,0.0
1774480127140700880,0.0,0.0,0.0
1774480127144138593,-0.00053899999994474,6.522265246545147e-09,-3.388189738617467e-05
1774480127185526418,0.0,0.0,0.0
1774480127188991043,-0.0005459999999437192,6.640851887390809e-09,0.0
1774480127229936744,0.0,0.0,0.0
1774480127232751882,-0.0005529999999426984,6.7594385282364715e-09,-3.388189738617467e-05
1774480127275227980,0.0,0.0,0.0
1774480127278793518,-0.0005599999999416776,6.878025169082134e-09,0.0
1774480127319531193,0.0,0.0,0.0
1774480127323863873,-0.000566999999940719,6.996611809929903e-09,-3.38818973864756e-05
1774480127368871518,0.0,0.0,0.0
1774480127371921974,-0.000566999999940719,6.996611809929903e-09,-3.38818973864756e-05
1774480127414773899,0.0,0.0,0.0
1774480127418278601,-0.0005739999999397604,7.115198450777672e-09,0.0
1774480127460222385,0.0,0.0,0.0
1774480127462877627,-0.0005879999999397278,7.115198450777672e-09,0.0
1774480127503644848,0.0,0.0,0.0
1774480127507084316,-0.0005879999999397278,7.115198450777672e-09,0.0
1774480127546816814,0.0,0.0,0.0
