t_ns,x,y,yaw
1774480126861850382,0.0,0.0,0.0
1774480126864780067,0.0,0.0,0.0
1774480126865669533,0.0,0.0,0.0
1774480126866410666,0.0,0.0,0.0
1774480126867140988,0.0,0.0,0.0
1774480126867880989,0.0,0.0,0.0
1774480126868626961,0.0,0.0,0.0
1774480126869366431,0.0,0.0,0.0
1774480126870087055,0.0,0.0,0.0
1774480126870833618,0.0,0.0,0.0
1774480126871567177,0.0,0.0,0.0
1774480126872265258,0.0,0.0,0.0
1774480126910595843,0.0,0.0,0.0
1774480126956846859,0.0,0.0,0.0
1774480127013410666,0.0,0.0,0.0
1774480127049467607,0.0,0.0,0.0
1774480127095137344,0.0,0.0,0.0
1774480127140707743,0.0,0.0,0.0
1774480127185524264,0.0,0.0,0.0
1774480127229932597,0.0,0.0,0.0
1774480127275225987,0.0,0.0,0.0
1774480127319556331,0.0,0.0,0.0
1774480127368885555,0.0,0.0,0.0
1774480127414795681,0.0,0.0,0.0
1774480127460218237,0.0,0.0,0.0
1774480127503640941,0.0,0.0,0.0
1774480127546812967,0.0,0.0,0.0
1774480127634783169,0.0,0.0,0.0
1774480127680186238,0.0,0.0,0.0
1774480127726562663,0.0,0.0,0.0
1774480127774814263,0.0,0.0,0.0
1774480127821489107,0.0,0.0,0.0
1774480127864774228,0.0,0.0,0.0
1774480127912057582,0.0,0.0,0.0
1774480127956615590,0.0,0.0,0.0
1774480128001095960,0.0,0.0,0.0
1774480128044914148,0.0,0.0,0.0
1774480128093901751,0.0,0.0,0.0
1774480128137494269,0.0,0.0,0.0
1774480128183386180,0.0,0.0,0.0
1774480128226639280,0.0,0.0,0.0
1774480128271425674,0.0,0.0,0.0
1774480128317427214,0.0,0.0,0.0
1774480128362603661,0.0,0.0,0.0
1774480128412847299,0.0,0.0,0.0
1774480128457943784,0.0,0.0,0.0
1774480128503948269,0.0,0.0,0.0
1774480128548113348,0.0,0.0,0.0
1774480128599239699,0.0,0.0,0.0
1774480128634618407,0.0,0.0,0.0
1774480128681360879,0.0,0.0,0.0
1774480128725970847,0.0,0.0,0.0
1774480128774921048,0.0,0.0,0.0
1774480128818779793,0.0,0.0,0.0
1774480128863088416,0.0,0.0,0.0
1774480128910145879,0.0,0.0,0.0
1774480128953573352,0.0,0.0,0.0
1774480128999670364,0.0,0.0,0.0
1774480129046007935,0.0,0.0,0.0
1774480129091532135,0.0,0.0,0.0
1774480129140690043,0.0,0.0,0.0
1774480129186155621,0.0,0.0,0.0
1774480129230877722,0.0,0.0,0.0
1774480129275456159,0.0,0.0,0.0
1774480129321049882,0.0,0.0,0.0
1774480129366721152,0.0,0.0,0.0
1774480129410563085,0.0,0.0,0.0
1774480129460015875,0.0,0.0,0.0
1774480129504591236,0.0,0.0,0.0
1774480129549853918,0.0,0.0,0.0
1774480129591913983,0.0,0.0,0.0
1774480129638137437,0.0,0.0,0.0
1774480129683866227,0.0,0.0,0.0
1774480129730301273,0.0,0.0,0.0
1774480129778391195,0.0,0.0,0.0
1774480129820842907,0.0,0.0,0.0
1774480129866672320,0.0,0.0,0.0
1774480129910390156,0.0,0.0,0.0
1774480129955337386,0.0,0.0,0.0
1774480129998547785,0.0,0.0,0.0
1774480130043896040,0.0,0.0,0.0
1774480130088530343,0.0,0.0,0.0
1774480130133392932,0.0,0.0,0.0
1774480130180483739,0.0,0.0,0.0
1774480130225236498,0.0,0.0,0.0
1774480130270000038,0.0,0.0,0.0
1774480130313402874,0.0,0.0,0.0
1774480130358531971,0.0,0.0,0.0
1774480130405344757,0.0,0.0,0.0
1774480130450210723,0.0,0.0,0.0
1774480130498852266,0.0,0.0,0.0
1774480130552683904,0.0,0.0,0.0
1774480130589659146,0.0,0.0,0.0
1774480130633644112,0.0,0.0,0.0
1774480130677776899,0.0,0.0,0.0
1774480130722949559,0.0,0.0,0.0
1774480130768215147,0.0,0.0,0.0
1774480130816259581,0.0,0.0,0.0
1774480130859522461,0.0,0.0,0.0
1774480130905258094,0.0,0.0,0.0
1774480130950270819,0.0,0.0,0.0
1774480130994491534,0.0,0.0,0.0
1774480131038927620,0.0,0.0,0.0
1774480131081906437,0.0,0.0,0.0
1774480131126672973,0.0,0.0,0.0
1774480131175927795,0.0,0.0,0.0
1774480131219923060,0.0,0.0,0.0
1774480131264494905,0.0,0.0,0.0
1774480131309187470,0.0,0.0,0.0
1774480131352996560,0.0,0.0,0.0
1774480131398658282,0.0,0.0,0.0
1774480131443207934,0.0,0.0,0.0
1774480131490678715,0.0,0.0,0.0
1774480131538548858,0.0,0.0,0.0
1774480131583643068,0.0,0.0,0.0
1774480131626565798,0.0,0.0,0.0
1774480131670348438,0.0,0.0,0.0
1774480131715550704,0.0,0.0,0.0
1774480131761416666,0.0,0.0,0.0
1774480131808197221,0.0,0.0,0.0
1774480131852866381,0.0,0.0,0.0
1774480131901138981,0.0,0.0,0.0
1774480131947478936,0.0,0.0,0.0
1774480132000575012,0.0,0.0,0.0
1774480132037218051,0.0,0.0,0.0
1774480132084162418,0.0,0.0,0.0
1774480132130004484,0.0,0.0,0.0
1774480132174049655,0.0,0.0,0.0
1774480132221558458,0.0,0.0,0.0
1774480132266944545,0.0,0.0,0.0
1774480132312980791,0.0,0.0,0.0
1774480132358519008,0.0,0.0,0.0
1774480132403835763,0.0,0.0,0.0
1774480132448042441,0.0,0.0,0.0
1774480132493371248,0.0,0.0,0.0
1774480132539180973,0.0,0.0,0.0
1774480132586586991,0.0,0.0,0.0
1774480132632081514,0.0,0.0,0.0
1774480132678748503,0.0,0.0,0.0
1774480132722371448,0.0,0.0,0.0
1774480132767373092,0.0,0.0,0.0
1774480132812507178,0.0,0.0,0.0
1774480132858031849,0.0,0.0,0.0
1774480132902983568,0.0,0.0,0.0
1774480132950268535,0.0,0.0,0.0
1774480132995419163,0.0,0.0,0.0
1774480133049165128,0.0,0.0,0.0
1774480133085739165,0.0,0.0,0.0
1774480133131723913,0.0,0.0,0.0
1774480133178116658,0.0,0.0,0.0
1774480133223363520,0.0,0.0,0.0
1774480133271957652,0.0,0.0,0.0
1774480133318030979,0.0,0.0,0.0
1774480133362669090,0.0,0.0,0.0
1774480133405107247,0.0,0.0,0.0
1774480133450069405,0.0,0.0,0.0
1774480133495227768,0.0,0.0,0.0
1774480133537865275,0.0,0.0,0.0
1774480133587514920,0.0,0.0,0.0
1774480133635024966,0.0,0.0,0.0
1774480133679803445,0.0,0.0,0.0
1774480133724406529,0.0,0.0,0.0
1774480133768295631,0.0,0.0,0.0
1774480133812582002,0.0,0.0,0.0
1774480133857982676,0.0,0.0,0.0
1774480133903351731,0.0,0.0,0.0
1774480133952025265,0.0,0.0,0.0
1774480134004765913,0.0,0.0,0.0
1774480134040717152,0.0,0.0,0.0
1774480134087201042,0.0,0.0,0.0
1774480134132510513,0.0,0.0,0.0
1774480134178829368,0.0,0.0,0.0
1774480134223188126,0.0,0.0,0.0
1774480134269127808,0.0,0.0,0.0
1774480134318596669,0.0,0.0,0.0
1774480134364115538,0.0,0.0,0.0
1774480134409142110,0.0,0.0,0.0
1774480134453545503,0.0,0.0,0.0
1774480134499744640,0.0,0.0,0.0
1774480134545222602,0.0,0.0,0.0
1774480134591931971,0.0,0.0,0.0
1774480134641087785,0.0,0.0,0.0
1774480134687210886,0.0,0.0,0.0
1774480134732717362,0.0,0.0,0.0
1774480134777507553,0.0,0.0,0.0
1774480134823362584,0.0,0.0,0.0
1774480134868877516,0.0,0.0,0.0
1774480134914797371,0.0,0.0,0.0
1774480134959864970,0.0,0.0,0.0
1774480135014530848,0.0,0.0,0.0
1774480135050347932,0.0,0.0,0.0
1774480135098333785,0.0,0.0,0.0
1774480135143759398,0.0,0.0,0.0
1774480135187741908,0.0,0.0,0.0
1774480135230205303,0.0,0.0,0.0
1774480135276474974,0.0,0.0,0.0
1774480135319377746,0.0,0.0,0.0
1774480135369092395,0.0,0.0,0.0
1774480135414086424,0.0,0.0,0.0
1774480135459839300,0.0,0.0,0.0
1774480135505170593,0.0,0.0,0.0
1774480135548280230,0.0,0.0,0.0
1774480135593439093,0.0,0.0,0.0
1774480135637577181,0.0,0.0,0.0
1774480135684067122,0.0,0.0,0.0
1774480135733717458,0.0,0.0,0.0
1774480135777996765,0.0,0.0,0.0
1774480135822223632,0.0,0.0,0.0
1774480135867124654,0.0,0.0,0.0
1774480135912284159,0.0,0.0,0.0
1774480135958457546,0.0,0.0,0.0
1774480136007123336,0.0,0.0,0.0
1774480136051510448,0.0,0.0,0.0
1774480136097134248,0.0,0.0,0.0
1774480136142076648,0.0,0.0,0.0
1774480136190155379,0.0,0.0,0.0
1774480136234540647,0.0,0.0,0.0
1774480136280527510,0.0,0.0,0.0
1774480136324265003,0.0,0.0,0.0
1774480136374477822,0.0,0.0,0.0
1774480136420220809,0.0,0.0,0.0
1774480136464508692,0.0,0.0,0.0
1774480136508710100,0.0,0.0,0.0
1774480136553224736,0.0,0.0,0.0
1774480136599860405,0.0,0.0,0.0
1774480136644790713,0.0,0.0,0.0
1774480136689966619,0.0,0.0,0.0
1774480136736637515,0.0,0.0,0.0
1774480136790735280,0.0,0.0,0.0
1774480136825868620,0.0,0.0,0.0
1774480136871753027,0.0,0.0,0.0
1774480136961777616,0.0,0.0,0.0
1774480137004912400,0.0,0.0,0.0
1774480137050541541,0.0,0.0,0.0
1774480137098383399,0.0,0.0,0.0
1774480137144938705,0.0,0.0,0.0
1774480137200572298,0.0,0.0,0.0
1774480137238115182,0.0,0.0,0.0
1774480137285551177,0.0,0.0,0.0
1774480137330697056,0.0,0.0,0.0
1774480137376960816,0.0,0.0,0.0
1774480137425796369,0.0,0.0,0.0
1774480137472093462,0.0,0.0,0.0
1774480137516203165,0.0,0.0,0.0
1774480137560392802,0.0,0.0,0.0
1774480137605935457,0.0,0.0,0.0
1774480137650340142,0.0,0.0,0.0
1774480137695171050,0.0,0.0,0.0
1774480137741333187,0.0,0.0,0.0
1774480137790131028,0.0,0.0,0.0
1774480137881872289,0.0,0.0,0.0
1774480137927585329,0.0,0.0,0.0
1774480137975530164,0.0,0.0,0.0
1774480138021382519,0.0,0.0,0.0
1774480138065093052,0.0,0.0,0.0
1774480138111565490,0.0,0.0,0.0
1774480138161280289,0.0,0.0,0.0
1774480138205874666,0.0,0.0,0.0
1774480138249962207,0.0,0.0,0.0
1774480138296774303,0.0,0.0,0.0
1774480138342178834,0.0,0.0,0.0
1774480138386205850,0.0,0.0,0.0
1774480138430927781,0.0,0.0,0.0
1774480138479844819,0.0,0.0,0.0
1774480138524568734,0.0,0.0,0.0
1774480138616289185,0.0,0.0,0.0
1774480138659741194,0.0,0.0,0.0
1774480138708034854,0.0,0.0,0.0
1774480138754268427,0.0,0.0,0.0
1774480138803512068,0.0,0.0,0.0
1774480138849607126,0.0,0.0,0.0
1774480138893705126,0.0,0.0,0.0
1774480138937775665,0.0,0.0,0.0
1774480138984500284,0.0,0.0,0.0
1774480139027916705,0.0,0.0,0.0
1774480139072823579,0.0,0.0,0.0
1774480139118752610,0.0,0.0,0.0
1774480139163581314,0.0,0.0,0.0
1774480139211776697,0.0,0.0,0.0
1774480139257358707,0.0,0.0,0.0
1774480139348695537,0.0,0.0,0.0
1774480139392458640,0.0,0.0,0.0
1774480139438694216,0.0,0.0,0.0
1774480139484550510,0.0,0.0,0.0
1774480139532510233,0.0,0.0,0.0
1774480139577389853,0.0,0.0,0.0
1774480139622811197,0.0,0.0,0.0
1774480139669973120,0.0,0.0,0.0
1774480139714258478,0.0,0.0,0.0
1774480139760893165,0.0,0.0,0.0
1774480139807366344,0.0,0.0,0.0
1774480139855187824,0.0,0.0,0.0
1774480139900008763,0.0,0.0,0.0
1774480139945567560,0.0,0.0,0.0
1774480139991477786,0.0,0.0,0.0
1774480140037895970,0.0,0.0,0.0
1774480140083121200,0.0,0.0,0.0
1774480140128119467,0.0,0.0,0.0
1774480140173192868,0.0,0.0,0.0
1774480140220219122,0.0,0.0,0.0
1774480140265180529,0.0,0.0,0.0
1774480140311184142,0.0,0.0,0.0
1774480140355367857,0.0,0.0,0.0
1774480140400390911,0.0,0.0,0.0
1774480140445403276,0.0,0.0,0.0
1774480140489968247,0.0,0.0,0.0
1774480140535842604,0.0,0.0,0.0
1774480140584850686,0.0,0.0,0.0
1774480140629397122,0.0,0.0,0.0
1774480140674607083,0.0,0.0,0.0
1774480140719797327,0.0,0.0,0.0
1774480140764271255,0.0,0.0,0.0
1774480140810201088,0.0,0.0,0.0
1774480140854865208,0.0,0.0,0.0
1774480140900081181,0.0,0.0,0.0
1774480140956023603,0.0,0.0,0.0
1774480141040176967,0.0,0.0,0.0
1774480141084582885,0.0,0.0,0.0
1774480141130635844,0.0,0.0,0.0
1774480141174546728,0.0,0.0,0.0
1774480141220079905,0.0,0.0,0.0
1774480141268196808,0.0,0.0,0.0
1774480141314286125,0.0,0.0,0.0
1774480141359778845,0.0,0.0,0.0
1774480141408043670,0.0,0.0,0.0
1774480141453424396,0.0,0.0,0.0
1774480141498397676,0.0,0.0,0.0
1774480141545005422,0.0,0.0,0.0
1774480141587869591,0.0,0.0,0.0
1774480141639399250,0.0,0.0,0.0
1774480141683816600,0.0,0.0,0.0
1774480141730568570,0.0,0.0,0.0
1774480141776002007,0.0,0.0,0.0
1774480141821743692,0.0,0.0,0.0
1774480141867506416,0.0,0.0,0.0
1774480141911709648,0.0,0.0,0.0
1774480141957630444,0.0,0.0,0.0
1774480142007606922,0.0,0.0,0.0
1774480142053167031,0.0,0.0,0.0
1774480142097287184,0.0,0.0,0.0
1774480142142525529,0.0,0.0,0.0
1774480142188922022,0.0,0.0,0.0
1774480142233783428,0.0,0.0,0.0
1774480142280987381,0.0,0.0,0.0
1774480142329542048,0.0,0.0,0.0
1774480142374626279,0.0,0.0,0.0
1774480142421624840,0.0,0.0,0.0
1774480142469367670,0.0,0.0,0.0
1774480142514735151,0.0,0.0,0.0
1774480142562538245,0.0,0.0,0.0
1774480142615491388,0.0,0.0,0.0
1774480142656483869,0.0,0.0,0.0
1774480142702193221,0.0,0.0,0.0
1774480142749439404,0.0,0.0,0.0
1774480142795688716,0.0,0.0,0.0
1774480142839852393,0.0,0.0,0.0
1774480142887141517,0.0,0.0,0.0
1774480142930993028,0.0,0.0,0.0
1774480142977360926,0.0,0.0,0.0
1774480143025613508,0.0,0.0,0.0
1774480143072667775,0.0,0.0,0.0
1774480143116831060,0.0,0.0,0.0
1774480143162414163,0.0,0.0,0.0
1774480143207194555,0.0,0.0,0.0
1774480143251706625,0.0,0.0,0.0
1774480143296610282,0.0,0.0,0.0
1774480143341642905,0.0,0.0,0.0
1774480143389237782,0.0,0.0,0.0
1774480143435461215,0.0,0.0,0.0
1774480143482807700,0.0,0.0,0.0
1774480143528278528,0.0,0.0,0.0
1774480143572806138,0.0,0.0,0.0
1774480143618971300,0.0,0.0,0.0
1774480143664353700,0.0,0.0,0.0
1774480143714479412,0.0,0.0,0.0
1774480143759657503,0.0,0.0,0.0
1774480143806590438,0.0,0.0,0.0
1774480143851827641,0.0,0.0,0.0
1774480143896148377,0.0,0.0,0.0
1774480143941229372,0.0,0.0,0.0
1774480143987278623,0.0,0.0,0.0
1774480144031773410,0.0,0.0,0.0
1774480144081599943,0.0,0.0,0.0
1774480144127492605,0.0,0.0,0.0
1774480144172857772,0.0,0.0,0.0
1774480144219885148,0.0,0.0,0.0
1774480144266990121,0.0,0.0,0.0
1774480144312491368,0.0,0.0,0.0
1774480144366017663,0.0,0.0,0.0
1774480144401976718,0.0,0.0,0.0
1774480144451313065,0.0,0.0,0.0
1774480144497731049,0.0,0.0,0.0
1774480144544311663,0.0,0.0,0.0
1774480144589311724,0.0,0.0,0.0
1774480144633983108,0.0,0.0,0.0
1774480144679283101,0.0,0.0,0.0
1774480144726614285,0.0,0.0,0.0
1774480144773820221,0.0,0.0,0.0
1774480144821562400,0.0,0.0,0.0
1774480144867041083,0.0,0.0,0.0
1774480144913542846,0.0,0.0,0.0
1774480144958592562,0.0,0.0,0.0
1774480145003892424,0.0,0.0,0.0
1774480145048689919,0.0,0.0,0.0
1774480145098656448,0.0,0.0,0.0
1774480145142235449,0.0,0.0,0.0
1774480145187742226,0.0,0.0,0.0
1774480145232944061,0.0,0.0,0.0
1774480145279673018,0.0,0.0,0.0
1774480145324610128,0.0,0.0,0.0
1774480145370297069,0.0,0.0,0.0
1774480145416663074,0.0,0.0,0.0
1774480145462243982,0.0,0.0,0.0
1774480145513018381,0.0,0.0,0.0
1774480145559042384,0.0,0.0,0.0
1774480145604441776,0.0,0.0,0.0
1774480145651490472,0.0,0.0,0.0
1774480145696026759,0.0,0.0,0.0
1774480145742355012,0.0,0.0,0.0
1774480145787241657,0.0,0.0,0.0
1774480145836040289,0.0,0.0,0.0
1774480145882658945,0.0,0.0,0.0
1774480145928289198,0.0,0.0,0.0
1774480145973662450,0.0,0.0,0.0
1774480146018946922,0.0,0.0,0.0
1774480146065455008,0.0,0.0,0.0
1774480146109576454,0.0,0.0,0.0
1774480146160730226,0.0,0.0,0.0
1774480146204655798,0.0,0.0,0.0
1774480146249518006,0.0,0.0,0.0
1774480146294867343,0.0,0.0,0.0
1774480146340064119,0.0,0.0,0.0
1774480146385080320,0.0,0.0,0.0
1774480146432577451,0.0,0.0,0.0
1774480146528023936,0.0,0.0,0.0
1774480146619892209,0.0,0.0,0.0
1774480146665047976,0.0,0.0,0.0
1774480146712214267,0.0,0.0,0.0
1774480146759317146,0.0,0.0,0.0
1774480146805274693,0.0,0.0,0.0
1774480146851388066,0.0,0.0,0.0
1774480146900004822,0.0,0.0,0.0
1774480146945685149,0.0,0.0,0.0
1774480146992638444,0.0,0.0,0.0
1774480147039963176,0.0,0.0,0.0
1774480147085194628,0.0,0.0,0.0
1774480147128090988,0.0,0.0,0.0
1774480147175645248,0.0,0.0,0.0
1774480147219566933,0.0,0.0,0.0
1774480147269441576,0.0,0.0,0.0
1774480147314976477,0.0,0.0,0.0
1774480147361370315,0.0,0.0,0.0
1774480147408566221,0.0,0.0,0.0
1774480147461346585,0.0,0.0,0.0
1774480147498811731,0.0,0.0,0.0
1774480147546880131,0.0,0.0,0.0
1774480147595280334,0.0,0.0,0.0
1774480147640578874,0.0,0.0,0.0
1774480147686738945,0.0,0.0,0.0
1774480147732099714,0.0,0.0,0.0
1774480147776777280,0.0,0.0,0.0
1774480147822957330,0.0,0.0,0.0
1774480147868899497,0.0,0.0,0.0
1774480147913941968,0.0,0.0,0.0
1774480147964222065,0.0,0.0,0.0
1774480148009892183,0.0,0.0,0.0
1774480148054020933,0.0,0.0,0.0
1774480148100533817,0.0,0.0,0.0
1774480148146503306,0.0,0.0,0.0
1774480148192713524,0.0,0.0,0.0
1774480148237993468,0.0,0.0,0.0
1774480148291150780,0.0,0.0,0.0
1774480148332691506,0.0,0.0,0.0
1774480148380409528,0.0,0.0,0.0
1774480148428100809,0.0,0.0,0.0
1774480148474175579,0.0,0.0,0.0
1774480148520052411,0.0,0.0,0.0
1774480148566580194,0.0,0.0,0.0
1774480148609734757,0.0,0.0,0.0
1774480148657697055,0.0,0.0,0.0
1774480148706779268,0.0,0.0,0.0
1774480148753459783,0.0,0.0,0.0
1774480148798772860,0.0,0.0,0.0
1774480148844277413,0.0,0.0,0.0
1774480148889327799,0.0,0.0,0.0
1774480148934706922,0.0,0.0,0.0
1774480148983311435,0.0,0.0,0.0
1774480149029845019,0.0,0.0,0.0
