t_ns,x,y,yaw
1774046774672763842,-0.0,0.0,-0.0
1774046774718023855,-2.082204991893377e-05,-2.85598474647486e-07,-3.647633024224276e-07
1774046774749569549,0.00010838072194019333,2.4009566914173774e-05,6.3355926563024285e-06
1774046774779110026,8.429045556113124e-05,2.310333729838021e-05,1.2278860203922978e-05
1774046774806437789,7.540290243923664e-05,5.699470875697443e-06,1.92313737285501e-05
1774046774837624657,9.084494377020746e-05,7.49550890759565e-05,-9.563858687042423e-06
1774046774869792312,-2.7611244149738923e-05,7.509245733672287e-06,-1.6371191481333898e-05
1774046774915479682,8.008092117961496e-05,0.00012071053788531572,-4.3766093486770355e-05
1774046774961057352,9.3994771305006e-05,0.00010640807158779353,-5.687571093161024e-05
1774046775011286966,0.00016714780940674245,0.00016335397958755493,-5.9013085745866305e-05
1774046775052506685,-1.7421261873096228e-05,1.9125942344544455e-05,-4.51512010286552e-05
1774046775097917095,7.483673834940419e-05,4.399582030600868e-05,-2.852869202877846e-05
1774046775143267920,-8.657451871840749e-06,4.322989479987882e-05,-1.146337855466968e-05
1774046775191087942,0.00014790658315178007,0.00013038876932114363,-5.452438448287394e-05
1774046775236005458,0.0002802119415719062,0.00021769873274024576,-8.381817141431852e-05
1774046775277984280,0.00019851699471473694,0.00012966906069777906,-7.334121536203085e-05
1774046775322103078,0.0001435633166693151,0.00011797298066085204,-1.15569575391901e-05
1774046775368578245,1.8122222172678448e-05,5.7118453696602955e-05,-1.00230365302386e-05
1774046775416681619,0.00019405109924264252,0.00013048065011389554,-4.8354912743617414e-05
1774046775460988877,0.000236975378356874,0.0001261158613488078,-7.571402124072598e-05
1774046775511888082,-3.279929160271422e-06,0.00020790380949620157,-6.360820578348138e-05
1774046775567124868,3.0612638511229306e-05,0.0001904734963318333,-9.924789996823594e-05
1774046775597547623,2.0776553355972283e-05,0.00017330882837995887,-7.61628245180651e-05
1774046775639856807,0.00022937587345950305,0.000189390528248623,-1.2500390841531262e-05
1774046775688359445,9.717143984744325e-05,0.00018526737403590232,-2.840657174151807e-06
1774046775732786593,7.917954644653946e-05,0.00013320852303877473,4.253794495974345e-05
1774046775773248231,0.00016814643458928913,0.00013758413842879236,-1.5475669025236906e-05
1774046775820914769,6.164381375128869e-06,0.00011867927241837606,-1.8483854901498472e-05
1774046775872118616,-0.00015790217730682343,9.024259634315968e-05,-5.1136455079373293e-05
1774046775916322367,-0.0001037374313455075,6.952477997401729e-05,1.0764295596941151e-05
1774046775955673089,-0.00012626546958927065,3.742995659195003e-06,3.201040556839243e-05
