estimator,phase,phase_name,t0_s,t1_s,duration_s,n,ate_rmse_m,ate_mean_m,ate_max_m,yaw_abs_mean_rad,yaw_abs_max_rad
wheel,1,square,0.0,102.846956735,102.846956735,2171,0.37561074259423116,0.2824832528204889,0.7042946392586583,0.09945608460720204,0.2720017707779614
wheel,2,straight,102.846956735,132.145400386,29.298443651,585,0.679409737165668,0.6596167507117613,0.9142044210389145,0.3306838196838152,0.39272037137807025
wheel,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.9181796214481075,0.9181521158098387,0.9294205057098484,0.38770071577497806,0.4585727347527979
wheel,4,curve,173.28214725700002,196.548036824,23.265889566999988,459,0.7481925482947185,0.7425456596918718,0.9175156834133439,0.3487905749495679,0.4585052080139609
ekf,1,square,0.0,102.846956735,102.846956735,2171,0.374377565501152,0.2811590469919025,0.7048748168461008,0.06398857074985455,0.17358284514214306
ekf,2,straight,102.846956735,132.145400386,29.298443651,585,0.6835120046618511,0.6629300780540117,0.9239269154519686,0.2252505678215593,0.2856200677492322
ekf,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.9283524812909758,0.9283237935737423,0.9399895371631333,0.22577075658833473,0.28571832114796525
ekf,4,curve,173.28214725700002,196.548036824,23.265889566999988,459,0.7633241185076951,0.7581267205391596,0.928012781204343,0.38751108283655117,0.44505614625563883
orb,1,square,0.0,102.846956735,102.846956735,2171,0.5087217322337573,0.3407601005223432,1.5250895580557247,0.027687311502834003,0.2721817159966786
orb,2,straight,102.846956735,132.145400386,29.298443651,585,0.0747442081484506,0.06646282558127145,0.13491092003479666,0.04224255551126311,0.057306799559137644
orb,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,0.19892648511707015,0.17877280415839414,0.3026732126717131,0.04489846015478038,0.052656976089710206
orb,4,curve,173.28214725700002,196.548036824,23.265889566999988,459,0.18694446510969,0.16285224569107629,0.2867307729395958,0.03231946615642569,0.05154320419535097
cuvslam,1,square,0.0,102.846956735,102.846956735,2171,218.82829150714116,119.15998364538939,622.9034297579061,2.778328430080253,3.1408907897906575
cuvslam,2,straight,102.846956735,132.145400386,29.298443651,585,620.2305730154657,620.2169403434028,630.1699624019012,2.4197622603701805,2.5133477624403313
cuvslam,3,cw_rotation,132.145400386,173.28214725700002,41.136746871000014,816,683.4669424321945,680.7129942513762,744.8796303995953,2.5596446546176774,3.141561385058694
cuvslam,4,curve,173.28214725700002,196.548036824,23.265889566999988,459,715.3951450959097,714.750003928452,743.6703928832578,2.531004383233173,3.1008777672026175
