Estimator,Phase,ATE_RMSE_m,ATE_Mean_m,Yaw_Mean_rad,Yaw_Max_rad,Samples
wheel,GLOBAL (1-4),0.6194994272107653,0.5257203613032339,0.22150718453628104,0.4585727347527979,4153
ekf,GLOBAL (1-4),0.6251026112090309,0.5295065808937434,0.15948394570091154,0.44505614625563883,4153
orb,GLOBAL (1-4),1.0275053002911128,0.5202879073234802,0.028967022682681854,0.05643883506586933,4153
wheel,square,0.3756107425942311,0.2824832528204889,0.099456084607202,0.2720017707779614,2171
ekf,square,0.374377565501152,0.2811590469919025,0.0639885707498545,0.173582845142143,2171
orb,square,1.4096071062495883,0.8512010198446709,0.0311418533039679,0.0558828501110548,2171
wheel,straight,0.679409737165668,0.6596167507117613,0.3306838196838152,0.3927203713780702,585
ekf,straight,0.6835120046618511,0.6629300780540117,0.2252505678215593,0.2856200677492322,585
orb,straight,0.0725783960771686,0.0666874904373472,0.0393930231744351,0.0564388350658693,585
wheel,cw_rotation,0.9181796214481076,0.9181521158098388,0.387700715774978,0.4585727347527979,816
ekf,cw_rotation,0.9283524812909758,0.9283237935737424,0.2257707565883347,0.2857183211479652,816
orb,cw_rotation,0.2156737656874725,0.1930917992753932,0.0307485942898753,0.0515556110571662,816
wheel,circular,0.7531663499110144,0.7486361324472295,0.3342278125809391,0.4585052080139609,581
ekf,circular,0.7671713795229039,0.7630262103520231,0.3570002062758313,0.4450561462556388,581
orb,circular,0.2264860923688953,0.2000398879811767,0.0078404650269887,0.0179217701623732,581
