t_ns,px,py,pz,qx,qy,qz,qw
1773764447922870065,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0
1773764447954384340,6.026506071066251e-06,4.945246473653242e-06,3.1621315429219976e-05,-1.0779269359773025e-05,4.7987418838602025e-06,7.815696335455868e-06,1.0
1773764447975459423,1.3368717191042379e-05,8.711138434591703e-06,8.658846491016448e-05,-8.823244570521638e-06,3.634964059529011e-06,-7.146751886466518e-05,1.0
1773764447994771557,1.7687949366518296e-05,2.2229918613447808e-05,8.61609005369246e-05,8.888222509995103e-06,-4.744871148432139e-06,-4.583291956805624e-05,1.0
1773764448027146065,7.020045359240612e-06,3.0581453756894916e-05,6.286958523560315e-05,1.933851308422163e-05,-1.950333171407692e-06,-5.1107635954394937e-05,1.0
1773764448077874264,-4.702321894001216e-05,9.57304746407317e-06,-0.00020865876285824925,2.2416727460949915e-06,4.04539923692937e-06,-6.539118476212025e-05,1.0
1773764448129572537,-0.00027779224910773337,-0.00014186133921612054,9.994444553740323e-05,-1.980191154871136e-05,4.507541234488599e-05,-6.353396747726947e-05,1.0
1773764448168480781,1.7104041489801602e-06,1.105530191125581e-05,-1.6282398064504378e-05,-7.602832283737371e-06,3.075293761867215e-06,-8.536955283489078e-05,1.0
1773764448208511682,4.232310857332777e-06,9.188142030325253e-06,7.899614138295874e-05,-2.7380996471038088e-05,2.64680857071653e-05,-4.395359428599477e-05,1.0
1773764448259882216,-2.0956809748895466e-05,-7.522381110902643e-06,9.38234370551072e-06,-9.843763109529391e-06,1.518265617050929e-05,-6.778391252737492e-05,1.0
1773764448305363331,8.213297405745834e-06,1.4137073776510078e-05,4.201628325972706e-05,-4.947606157656992e-06,1.0928730489467853e-06,-3.745619687833823e-05,1.0
1773764448348703923,-1.0674582881620154e-05,-3.1543765999231255e-06,-4.2810461309272796e-05,7.871759407862555e-06,2.3707149011897855e-05,-4.007529059890658e-05,1.0
1773764448397790387,-3.0609237001044676e-05,-2.1476244000950828e-05,-7.172500772867352e-05,-1.299535324505996e-05,3.4646720450837165e-05,-7.782290049362928e-05,1.0
1773764448430398383,8.756979354984651e-07,-2.6923711629933678e-05,-8.07317701401189e-05,-1.0729965651989914e-05,1.931723272718955e-05,-7.886473031248897e-05,1.0
1773764448476020079,3.8811871490906924e-05,-4.9691756430547684e-05,1.3149285223335028e-05,-5.763567969552241e-05,-1.549927401356399e-05,-2.2454360077972524e-05,1.0
1773764448531380080,1.5371577319456264e-05,-3.222007944714278e-05,-5.0423634093021974e-05,-9.933655746863224e-06,1.652138053032104e-05,-7.06978898961097e-05,1.0
1773764448576325245,6.0514325014082715e-05,2.2989885110291652e-05,-5.2275667258072644e-05,-7.749037649773527e-06,-2.0800665879505686e-05,-2.2761389118386433e-05,1.0
1773764448621288004,4.6938097511883825e-05,1.70102393894922e-05,6.534789008583175e-06,-2.9401853680610657e-05,-3.354978616698645e-05,-9.993594176194165e-06,1.0
