idx,t_rel_ns,t_abs_ns,x,y,z,yaw
0,0,2150000112,-0.0008025160949632807,4.438756405231911e-07,1.1790882530469262e-06,-3.001021163519666e-06
1,16666667,2166666779,-0.0008087151554058354,-1.4505856198864838e-07,1.5018115450855169e-06,7.103175022366239e-05
2,33333335,2183333447,-0.0008151515861668374,8.160005249083701e-07,1.3629735023368382e-06,2.347401295935271e-06
3,50000002,2200000114,-0.0008213502689723832,8.2311238292588e-07,1.4919808754887431e-06,6.321406552912712e-05
4,66666670,2216666782,-0.0008273118397658553,-1.2372297744810838e-07,1.4865028149082935e-06,4.976600518042734e-07
5,83333337,2233333449,-0.0008344632658118759,8.381567045366019e-07,1.5127079058193501e-06,6.735908901317487e-05
6,100000005,2250000117,-0.0008406632638384175,1.3001330413597293e-07,1.3287925632439617e-06,6.400475074704627e-05
7,116666672,2266666784,-0.0008461466596087266,-1.0211386444871133e-07,1.6503846507759628e-06,1.9071581374532658e-06
8,133333340,2283333452,-0.0008528217485830265,9.784279728795326e-07,1.2735049687882975e-06,-2.4253609004010614e-06
9,150000007,2300000119,-0.0008592592651481377,1.513488774116131e-07,1.745616967857672e-06,6.815138918298771e-05
10,166666675,2316666787,-0.0008656966388291553,5.163619131019578e-07,1.442867422099734e-06,6.664117938644094e-05
11,183333343,2333333455,-0.0008716574505759234,4.636339361561933e-08,1.5714987924424913e-06,6.957040605578226e-05
12,200000010,2350000122,-0.0008778557557444604,6.495213121624787e-07,1.5067902467077103e-06,-3.0914628594253008e-06
13,216666678,2366666790,-0.0008850090349683383,1.808904644922322e-07,1.398887611271105e-06,6.288913405593012e-05
14,233333345,2383333457,-0.0008907310752888728,-2.893815939409736e-07,1.7506592652019076e-06,1.783470025263109e-06
15,250000013,2400000125,-0.0008971674870507737,7.908867059941824e-07,1.5373152964862972e-06,6.597436315067453e-05
16,266666680,2416666792,-0.0009033671743279957,-3.646591288281142e-08,1.6365218759838086e-06,-1.909177567311347e-06
17,283333348,2433333460,-0.000909803878621786,6.861747518223804e-07,1.4976842593790162e-06,-3.0730999741836706e-06
18,300000015,2450000127,-0.0009162421868957751,-3.793227572915797e-07,1.641971547854327e-06,6.85717087960115e-05
19,316666683,2466666795,-0.0009224400301038548,4.622535803395478e-07,1.6964717166076416e-06,7.173589487543401e-05
20,333333350,2483333462,-0.0009284001010213489,9.459287554471883e-07,1.6015842436898884e-06,-5.559055416934788e-06
21,350000018,2500000130,-0.0009353155517390087,-1.1902168237659902e-07,1.5529103888320692e-06,6.874634273302989e-05
22,366666685,2516666797,-0.00094127484005634,8.414903332302466e-07,1.6070334894165203e-06,2.4882578603609135e-06
23,383333353,2533333465,-0.0009474736596282798,7.293929801518434e-07,1.7360410756403684e-06,-1.8623365470514128e-06
24,400000020,2550000132,-0.0009539116654799935,3.7915074615914945e-07,1.552501948946071e-06,6.307612225056199e-05
25,416666688,2566666800,-0.0009603493180298278,2.8908506339783034e-08,1.5924799609367392e-06,1.0773248653320716e-06
26,433333356,2583333468,-0.0009665469302576789,9.896940535130448e-07,1.7065844869341013e-06,7.10455007349646e-05
27,450000023,2600000135,-0.0009729851009836029,6.394518222394645e-07,1.41873736218682e-06,6.265396157963403e-05
28,466666691,2616666803,-0.0009787075470489624,-3.0765708290806346e-07,1.8599167238793815e-06,-1.1438643755020563e-06
29,483333358,2633333470,-0.0009856207243991962,7.731582821021479e-07,1.6920298930946044e-06,6.784717149033496e-05
30,500000026,2650000138,-0.0009918204397842347,6.501487704018093e-08,1.6869282614671887e-06,-1.5907579598235273e-06
31,516666693,2666666805,-0.000998495812181709,5.495106522852962e-07,1.5633690686822e-06,3.360650822174626e-07
32,533333361,2683333473,-0.0010039790521865226,5.558019078346627e-07,1.8104550171753266e-06,-3.6953095739725144e-07
33,550000028,2700000140,-0.001011132316965657,3.25589486629136e-07,1.53863938722586e-06,6.977481903433607e-05
