t_ns,x,y,yaw
1778759217010721987,-0.0021436209650418773,-1.5298956505011137e-07,-1.6179484925021516e-05
1778759217011998239,-0.0021500574156890014,9.284485285507857e-08,6.005056348804687e-05
1778759217015794133,-0.0021564942607120207,9.34725816718395e-07,-1.7300572632215392e-05
1778759217016798767,-0.002162455774341193,-4.889180744501738e-07,-1.260882113259534e-05
1778759217018521540,-0.0021688921801781467,5.913812351528716e-07,5.537815826168646e-05
1778759217019536935,-0.0021753300893920698,1.2196068024285498e-07,-1.8008523610989478e-05
1778759217027231950,-0.002181767810594521,-3.4745996053913766e-07,5.918198132564199e-05
1778759217029521784,-0.0021877275571824673,3.7466225821156954e-07,5.812471109291033e-05
1778759217044925218,-0.00219392607589417,3.8180367574711994e-07,-1.4619582026817772e-05
1778759217061321245,-0.0022001256683306554,1.5052703736085722e-07,-1.709905442986225e-05
1778759217077619214,-0.0022060861809320444,-2.002338525180583e-07,-1.057586788483492e-05
1778759217095332290,-0.0022127609578904846,8.803401117148976e-07,5.372521870044893e-05
1778759217127251980,-0.002218245317262643,-1.8622545739693005e-07,5.5220819772619805e-05
1778759217145401789,-0.0022251590925401066,6.562049015981816e-07,5.369666051646997e-05
1778759217145432066,-0.00223183515402143,-5.1359644973567696e-08,5.674701726013449e-05
1778759217161387302,-0.002237794716268495,7.899717627479997e-07,-1.0477289016115178e-05
1778759217193888621,-0.0022439937211691306,5.586948560118142e-07,4.917231184711245e-05
1778759217195502546,-0.002250431814723935,-2.9934887869063e-08,-1.76651101618591e-05
1778759217211847515,-0.00225710790189939,9.696548945903423e-08,-1.3780608076499186e-05
1778759217228517804,-0.002263544489884528,2.2359069692537067e-07,5.747181320353551e-05
1778759217245115825,-0.002269981558910116,7.078439436001499e-07,5.031978115286601e-05
1778759217277244544,-0.0022759424996857992,-2.389631165470006e-07,5.623932478002848e-05
1778759217293915704,-0.00228214078190527,4.834338319715952e-07,5.270893729504921e-05
1778759217310669632,-0.0022890556955485297,1.3377197923819955e-07,-1.9556399112291512e-05
1778759217311905197,-0.002294539807416685,-5.751658834190883e-07,-1.0571724945125602e-05
1778759217328948216,-0.0023007377716278508,5.048587393520564e-07,5.228342380972829e-05
1778759217345545706,-0.0023071751873116604,3.5437959028104586e-08,-1.536850494357363e-05
1778759217361477317,-0.0023138507846275917,2.8154738578510237e-07,5.835535269801483e-05
1778759217378015875,-0.0023195726191109615,6.457673400573317e-07,-1.8552170016662354e-05
1778759217410705001,-0.0023257721461916263,-1.8155569401110126e-07,5.556135294090387e-05
1778759217411429192,-0.00233197038874941,7.79259782725171e-07,-1.3801436698646954e-05
1778759217444020542,-0.002338169621323205,3.095644336432843e-07,5.5615069056687366e-05
1778759217445257569,-0.0023448454426417058,1.9804614321174515e-07,5.68006366090299e-05
1778759217461742394,-0.0023505668540992628,5.622659042720303e-07,-1.2962797828212149e-05
1778759217494035085,-0.002357243322446144,9.312008986389878e-08,4.8836196390442826e-05
1778759217495750123,-0.0023632038585489675,-2.5764078928101946e-07,-1.2648068460030808e-05
1778759217527327201,-0.002369640401723935,7.03449309883172e-07,-1.623863723200009e-05
1778759217543857923,-0.002375839590965452,3.5296321417612686e-07,4.90007737758502e-05
1778759217560597635,-0.0023825160556417433,-2.3539187507483998e-07,-1.093344206012025e-05
1778759217562202202,-0.002388714052173416,3.6779566979295784e-07,5.630301919004518e-05
1778759217578282176,-0.002394913205423836,3.749373771464239e-07,-2.0912778917913166e-05
1778759217594978815,-0.002400874404715293,-5.718695649267604e-07,-1.2469209050543785e-05
1778759217627332142,-0.0024075491346708658,5.087043778382016e-07,-1.1703611719969009e-05
1778759217643908201,-0.002413986494532735,5.161206646836002e-07,-2.1105402565605232e-05
1778759217661049948,-0.002419947532984744,-3.1147707768472753e-07,-1.2907167322149968e-05
1778759217661584267,-0.002425907286913871,6.490636907516498e-07,-1.6501189645149695e-05
1778759217693874653,-0.00243234493027084,-5.877553191800365e-08,-2.1520656074040812e-05
1778759217695125346,-0.0024383056617263157,-1.7111777550527574e-07,5.096077362348077e-05
1778759217711820242,-0.002444742750582747,1.9392620706066516e-07,5.2222100560558194e-05
1778759217728592355,-0.0024511801266048692,-3.707604504561033e-08,-1.2696620620901774e-05
1778759217760585004,-0.0024578554294139303,5.666610666979337e-07,-1.2787576977812912e-05
1778759217777196932,-0.002464053924624199,5.738024734994872e-07,5.3768602506791546e-05
1778759217778628480,-0.002470014941767473,5.806696335630122e-07,-1.9617773809817813e-05
1778759217810536468,-0.0024759754308674277,2.299087329500998e-07,5.281187842483055e-05
1778759217811168562,-0.002481458404369787,7.130630820213192e-07,4.627946322934253e-05
1778759217843937511,-0.002488612054145706,6.048231133278364e-09,4.444331818456053e-05
1778759217845333541,-0.0024948107336968564,-1.0601955103602785e-07,-1.4893827874858212e-05
1778759217861449583,-0.0025012469713531827,8.550704085862044e-07,-2.1780085172058156e-05
1778759217893850460,-0.0025069699478729376,1.4640742597276123e-07,4.335111499323958e-05
1778759217911417138,-0.0025134077704223054,-8.459462218757287e-08,-2.0842909362405318e-05
1778759217927314494,-0.0025203212254987658,2.8099849789423845e-07,5.3363137780911535e-05
1778759217943983059,-0.0025265195980533825,8.841862145059866e-07,-2.3860238665128874e-05
1778759217960567825,-0.0025322423990513285,-1.8210466777394026e-07,5.0695365697739914e-05
1778759217977296405,-0.002539632724889703,5.416656397661818e-07,6.306347114080156e-05
1778759217993918903,-0.002545115909904968,1.0248200854433733e-06,-2.8748407978568704e-05
1778759218011470241,-0.0025517933829502224,-3.9799945541157693e-07,-1.5807868830403147e-05
1778759218012167069,-0.002557752643349236,5.625410876108661e-07,5.2337856417733616e-05
1778759218028334038,-0.002563713394635555,3.3098957991475475e-07,4.2764925809630116e-05
1778759218044712671,-0.0025701513435111654,-3.7684950321293867e-07,-1.5169255111297779e-05
1778759218078250054,-0.002576587376995766,8.226589094889917e-07,5.018349852756287e-05
1778759218078280853,-0.0025825483919463418,-4.93884361333247e-09,4.468826999340959e-05
1778759218110608260,-0.0025894632152544564,-2.3539146443988044e-07,-1.9746274155581975e-05
