t_ns,x,y,yaw
1778759463846733295,-0.007605309974100277,3.0199397498682815e-07,-4.206612692440753e-05
1778759463848961240,-0.007611746945240636,6.670412784994205e-07,-0.00012086092791970119
1778759463850319008,-0.007618423336148503,-4.051968725479685e-08,-0.00012019403099299277
1778759463851632892,-0.007625098490455577,3.248022402973195e-07,-0.0001176187963850736
1778759463852969740,-0.007631535485091698,6.89849561413353e-07,-5.2305382399724585e-05
1778759463854301037,-0.007637735526012907,-2.566792667925244e-07,-4.776817048024375e-05
1778759463855606805,-0.007643933525854064,4.6572076212756907e-07,-0.00011584432894939933
1778759463878581478,-0.0076503704969944205,8.307680656401631e-07,-4.860024329717264e-05
1778759463895299558,-0.0076570472873302734,1.232073991444713e-07,-0.00011949483724899078
1778759463896059246,-0.007663722230175474,4.885291682656026e-07,-4.554529953061104e-05
1778759463912859302,-0.00767039789424036,6.15432851117407e-07,-4.6574306683238306e-05
1778759463930126769,-0.007676120086546222,3.8360954414030473e-07,-4.726468046917376e-05
1778759463961902585,-0.007682557030616321,6.294475140614261e-07,-0.00011870841531664662
1778759463963655325,-0.007688994527861268,5.176579585010929e-07,-5.135204010751452e-05
1778759463979534867,-0.00769543241738521,1.674500702232339e-07,-4.684171060336831e-05
1778759463996324313,-0.0077016304606433985,7.706408183621863e-07,-4.5527517999023266e-05
1778759464013086477,-0.007707829264963814,8.969948834626427e-07,-0.00011937177639182098
1778759464029994118,-0.00771450547505456,4.278524088569362e-07,-0.0001192153976700535
1778759464061853633,-0.007720942925307979,3.1606281808971915e-07,-4.6739217070415924e-05
1778759464062942919,-0.007727141619298565,6.808354271490164e-07,-4.7319607180619435e-05
1778759464095262531,-0.007733578991915703,3.3062715159541454e-07,-4.805404527889989e-05
1778759464111980040,-0.007739777494365685,5.761903038391413e-07,-4.7407093249727176e-05
1778759464128586457,-0.007746692203791561,4.6495063008179787e-07,-4.728115136434314e-05
1778759464145745618,-0.007753605984110369,7.113382001508245e-07,-4.694452400477127e-05
1778759464161892329,-0.007759566641532112,4.797897284545595e-07,-0.00011898377933299481
1778759464163134506,-0.007765766140001957,2.48516373694218e-07,-4.6616127755378585e-05
1778759464179849721,-0.007771963877815217,8.517068929884143e-07,-0.00011838451759577974
1778759464212568022,-0.007778163164823189,6.204333797970861e-07,-0.0001192705646052155
1778759464213991776,-0.0077850773573422604,5.091933187640032e-07,-0.00011932914831124522
1778759464245452341,-0.0077919915498613325,3.9795325773091865e-07,-4.785459182894441e-05
1778759464261951223,-0.007797951704674252,6.432416627110203e-07,-0.00012026513208261408
1778759464279502561,-0.007804627663460585,4.125176264434996e-07,-0.00012007292247524064
1778759464279522449,-0.007811065372167406,3.007282293141514e-07,-0.00011831907500788524
1778759464296567091,-0.007817263357710583,5.46290994282137e-07,-4.839942031017079e-05
1778759464328608343,-0.007824416512331072,5.545354541902147e-07,-0.00012522178703275498
