t_ns,x,y,yaw
1778759463877785922,-0.0,0.0,-0.0
1778759463901144307,-5.5803771829232574e-05,3.7916499422863126e-05,7.2988616460708404e-06
1778759463919001888,-0.0002408018772257492,3.727347211679444e-05,3.1373968966248797e-05
1778759463940547748,-0.00026745523791760206,8.431907917838544e-05,7.73762755408452e-06
1778759463960771519,-0.0002641966275405139,0.00010097982158185914,-2.9815006704317323e-05
1778759463981850590,-0.000129662876133807,2.9420847567962483e-05,-1.904144131259572e-05
1778759464001916260,-0.00047289670328609645,-7.055596506688744e-05,3.151724216894797e-05
1778759464021676126,-0.00034602501546032727,-0.0001511263253632933,7.951138304668625e-05
1778759464041876873,-0.0006291758036240935,-0.00013682419375982136,6.203341611235292e-05
1778759464063495723,-0.000534004473593086,-0.0002536395040806383,8.584047557273567e-05
1778759464084882580,-0.0003498162841424346,-4.262359288986772e-05,3.02470433774531e-05
1778759464105258300,-0.00036245453520677984,-0.00015926283958833665,7.554750721715173e-05
1778759464125794436,-0.00035711456439457834,-0.00016150984447449446,4.036477859255976e-05
1778759464147734478,-0.00022129803255666047,-6.240898073883727e-05,4.8910862930835963e-05
1778759464167526356,-0.0003537259763106704,-9.512397809885442e-05,2.816003292214953e-05
1778759464187387666,4.231776256347075e-05,0.00023858671193011105,2.2080529525677194e-05
1778759464207462212,1.5012875337561127e-05,0.00019976540352217853,3.624777123610191e-05
1778759464227539193,-6.816687528043985e-05,0.00021698969067074358,-6.950772282182815e-05
1778759464245991178,-0.00010292318620486185,7.786231435602531e-05,4.9148052407498837e-05
1778759464265661373,-0.0005168782081454992,0.00012211788271088153,1.685337006656611e-05
1778759464286836467,-0.0006908896612003446,9.103403499466367e-06,2.8814220718270984e-05
1778759464307155570,-0.0007436115993186831,8.183091267710552e-05,-3.591648306364859e-05
1778759464328688676,-0.000943475344683975,-3.6323726817499846e-05,5.953728220949709e-06
1778759464347272862,-0.0009203366935253143,-4.912819804303581e-06,1.7965487800304125e-05
1778759464368322567,-0.0009101826581172645,-0.0002398126816842705,7.002472148850795e-05
1778759464386489778,-0.00036481849383562803,1.8988564988831058e-05,1.8882110963099298e-05
1778759464404483730,-0.0011847235728055239,-0.00023679579317104071,3.1819597565012895e-05
1778759464424806820,-0.0009200685890391469,-0.0004337946593295783,5.8973259058747963e-05
1778759464444938615,-0.0004346542991697788,-0.000179673355887644,-3.536505192790882e-06
1778759464463915971,-0.00036838033702224493,-0.00019290087220724672,7.220500066330633e-05
1778759464484080819,-0.000923437881283462,-0.00048321211943402886,9.186365612639494e-05
1778759464506263112,-0.0008081515552476048,-0.0002942359133157879,9.284801729129211e-05
1778759464524795450,-0.0014037571381777525,-0.00015929841902107,3.670279602879303e-05
1778759464545271081,-0.0014507211744785309,-0.0004082014493178576,3.4759211805958145e-05
1778759464563854846,-0.0010915499879047275,-3.799396290560253e-05,-3.932918687638232e-05
1778759464583240730,-0.000305874680634588,-0.00013538925850298256,2.884500285059007e-05
1778759464602173290,-0.00013830717944074422,7.715067340541282e-07,-8.434352565636034e-06
1778759464623145878,-0.0005137476255185902,-0.0001665649760980159,1.5913820420474055e-05
1778759464642567360,-0.0008798128110356629,-0.00018125853966921568,3.5070137790587196e-05
1778759464663027631,-0.0013765256153419614,-0.0003818495315499604,7.684054484635005e-05
1778759464682991778,-0.0005088592879474163,-1.3603817933471873e-05,3.9180420242554386e-05
1778759464706439091,-0.00042352447053417563,-5.7725977967493236e-05,-1.0825793454734459e-05
1778759464727300387,-0.000817334686871618,-0.00021475298854056746,4.161804221297899e-05
1778759464748325184,-0.0010250689228996634,-6.21052531641908e-05,-1.0650513641442782e-05
1778759464766751009,-0.0007881782366894186,-2.1498331989278086e-05,4.2942441109105056e-05
