t_ns,x,y,yaw
1778740403109649563,-0.0018296231928925334,3.197264226783328e-07,-1.4037960743922655e-05
1778740403110951373,-0.0018355834579899196,3.2659323925395727e-07,-1.46064055881039e-05
1778740403111747450,-0.001841543793591608,3.3346008803157286e-07,-1.4893984855495653e-05
1778740403112081186,-0.0018482192263975018,5.795694396505917e-07,4.926132360519448e-05
1778740403112634731,-0.0018544193446846072,-1.2854405122508335e-07,-1.9772160504705016e-05
1778740403112920355,-0.0018608562815206643,-1.211279575916288e-07,-1.1890789499151786e-05
1778740403113253029,-0.001866816326286072,3.6257585101536745e-07,-1.4920961116285176e-05
1778740403125381559,-0.001873253380629299,3.6999199831880604e-07,5.2263620868446225e-05
1778740403142357114,-0.0018796915681898395,-2.1863770262608362e-07,5.4910586688886594e-05
1778740403175002908,-0.0018856510562620123,5.034843980506579e-07,5.528706690480922e-05
1778740403175742888,-0.0018918502058418423,3.91416830561289e-07,-2.0876438020450878e-05
1778740403192438210,-0.0018982885505712398,-4.3563134493129255e-07,-1.518580464916501e-05
1778740403224974034,-0.0019044862217534272,2.8676532450338363e-07,-1.3152740825113123e-05
1778740403241682842,-0.0019106850334941086,6.515346953754024e-07,-2.15811645861457e-05
1778740403242470994,-0.0019166464171264472,-4.144814356686423e-07,5.3172192652881975e-05
1778740403275041204,-0.0019223670317279472,7.842028736015983e-07,5.149847938392867e-05
1778740403275834635,-0.0019292828237433368,-4.2295670611256235e-08,-2.074334729183557e-05
1778740403308362966,-0.0019354808254234924,-3.5154489223637476e-08,5.593484515525462e-05
1778740403308812422,-0.0019416792016486988,6.872425022309457e-07,4.893545109627148e-05
1778740403341654089,-0.001947879610772085,-4.977079484741109e-07,5.1449356254742545e-05
1778740403358323832,-0.001954554008036992,4.636565691720597e-07,5.7472809498768196e-05
1778740403375038380,-0.0019607525069178506,5.900072508164479e-07,5.2448135934009955e-05
1778740403391760924,-0.001966952213190916,2.3952139125733415e-07,-2.104745362835715e-05
1778740403392708209,-0.0019736288262169905,-1.1041508390398078e-07,-1.9416486743561718e-05
1778740403425004006,-0.001980065390700695,1.6210112828358336e-08,-1.269592667139726e-05
1778740403425550748,-0.001986264057762182,2.6177014445356024e-07,5.3091446374175683e-05
1778740403442391266,-0.001992224503529859,3.021849721548971e-08,-1.772735938892279e-05
1778740403475044404,-0.001998423495940832,1.565694042738128e-07,4.852376473208285e-05
1778740403475549847,-0.00200557660885436,-4.312364186533213e-07,5.3448185550575786e-05
1778740403508594952,-0.002011059013173821,6.47964036282152e-07,4.908235338294138e-05
1778740403525061187,-0.002017497518742666,-2.982933389152863e-07,-1.6614252301047974e-05
1778740403541729027,-0.002022979472864292,6.616976372314103e-07,-1.3942964801290293e-05
1778740403542228228,-0.002030609272198851,5.512781907334472e-07,-7.700980993726414e-06
1778740403558846162,-0.002036569987494073,6.773544860978477e-07,4.5724570940127266e-05
1778740403591990085,-0.002042053880508142,-2.700020228510826e-07,5.749247195590542e-05
1778740403592377042,-0.0020494444846931342,3.345591386541668e-07,6.880210666557531e-05
1778740403608764678,-0.0020563584332997085,7.001524841499126e-07,-8.821656014772013e-06
1778740403641821375,-0.0020620812056477383,2.2990795461616826e-07,4.9427166570129e-05
1778740403658390867,-0.0020673263698703288,-1.2167700649244649e-07,-5.718954427928198e-06
1778740403675078734,-0.0020740019583671875,6.012695089018951e-07,-1.1990167368869478e-05
1778740403691667342,-0.0020802006195653868,-1.0684464748158752e-07,5.6735490194695915e-05
1778740403708331344,-0.002086876596574852,2.5847422586219535e-07,5.6867838222109334e-05
1778740403725045602,-0.0020928373243597376,2.692270743208757e-08,5.4976568723542676e-05
1778740403725638973,-0.002099274512370388,-2.0407963054616305e-07,6.138640434449426e-05
1778740403742279780,-0.0021059499165263654,6.380760738190386e-07,5.588582550876964e-05
1778740403774985749,-0.002112149157919233,-3.084563639001922e-07,5.909832910968873e-05
