t_ns,x,y,yaw
1778740523452651767,0.0,0.0,0.0
1778740523453554247,0.0,0.0,1.7063279384998962e-06
1778740523453665498,0.0,0.0,2.579850152173435e-06
1778740523455909543,-9.982890116152228e-05,-9.205381874051654e-10,4.512240937781797e-06
1778740523460157916,-0.00013893354775178386,-1.394754055066189e-09,2.62422446972721e-06
1778740523462720137,-0.0001676627039172199,-1.8451328688947864e-09,1.1397657909473224e-05
1778740523465095982,-0.0001840662898274271,-2.1624444414591596e-09,1.902909137818654e-05
1778740523466910208,-0.00019576387163745403,-2.3804112090590157e-09,2.3308001227739794e-05
1778740523469176796,-0.0002245679287635727,-3.1332769591376397e-09,2.135209489839696e-05
1778740523534038652,-0.00024001776447892992,-3.3517134529752442e-09,9.413528523349868e-06
1778740523567955831,-0.00026566774007116345,-3.504461513585304e-09,-4.758319243070019e-06
1778740523618154274,-0.00027984521079462446,-3.674420397472052e-09,-1.9451752707677628e-05
1778740523668438310,-0.0003006709736881299,-3.974082685274048e-09,-2.4882820949034823e-05
1778740523718080243,-0.00032008881194810587,-4.1364662537487324e-09,-3.060132172683083e-05
1778740523768310878,-0.00034325297121914775,-4.2071491623301755e-09,-3.487334088525529e-05
1778740523817943152,-0.0003614767373147744,-4.3169374630969845e-09,-3.5628412716981466e-05
1778740523868336036,-0.0003779638384952023,-4.526604883638527e-09,-3.706367358313756e-05
1778740523918269394,-0.000394046321301727,-4.820802637722872e-09,-3.838542484313479e-05
1778740523967932698,-0.00041798332534826,-4.815047011029528e-09,-4.1236263555788355e-05
1778740524018092257,-0.00043383244790645855,-4.994189432267031e-09,-4.531714471411875e-05
1778740524068156495,-0.00045472876419711076,-5.301191781724449e-09,-5.747977325931686e-05
1778740524118464627,-0.00047412658948048705,-5.423449600248084e-09,-7.314695464533115e-05
1778740524167663276,-0.000495281225415881,-4.86216473215299e-09,-8.726075136955558e-05
1778740524217835138,-0.0005113390994154062,-5.434845170142078e-09,-9.194872625206683e-05
1778740524284076131,-0.0005300204588809364,-5.578128919017895e-09,-9.225072277674327e-05
1778740524317629256,-0.0005510347328683657,-5.05689613612864e-09,-8.929550825387268e-05
1778740524367840674,-0.000561490979603504,-5.641456343097189e-09,-8.700612006373731e-05
1778740524434144657,-0.0005879113981690814,-5.490776313566392e-09,-8.443238796163045e-05
1778740524483932278,-0.0006033526705160133,-5.475260770975235e-09,-8.513073203175736e-05
1778740524517559354,-0.000623191495987498,-5.136284451289194e-09,-8.821528165148251e-05
1778740524568227522,-0.0006438560206352523,-5.609528436758381e-09,-9.125507977847391e-05
1778740524634048064,-0.0006700636530365012,-5.879697838009106e-09,-9.503073429861786e-05
1778740524667726228,-0.0006839392815619211,-5.876583202935088e-09,-9.563581739291395e-05
1778740524718011577,-0.0007015238988468093,-5.932453993814585e-09,-9.386780927167493e-05
1778740524767734484,-0.0007213759888536956,-5.8815801123022225e-09,-8.958056143004711e-05
1778740524817925543,-0.0007400426601007149,-5.74052603242239e-09,-8.525205245701885e-05
1778740524867965114,-0.0007538980100469648,-5.734750751862073e-09,-8.192809489271369e-05
1778740524918015475,-0.000771495944897773,-5.782450973109395e-09,-8.742408810924474e-05
1778740524967929115,-0.0007979134744650109,-5.893347648300286e-09,-0.00010449191684891447
1778740525034109272,-0.0008133504793447914,-5.954772988555069e-09,-0.00011996623267229722
1778740525084042170,-0.000837987720846991,-5.8152260033669894e-09,-0.00012884419683345524
1778740525117792561,-0.0008555742734553491,-5.871938318708242e-09,-0.0001304867761486861
1778740525183943542,-0.0008699789367239905,-6.161032927468321e-09,-0.00013217379660313
1778740525217710515,-0.0008938922997351626,-6.086172385276154e-09,-0.00013153272036436903
1778740525267706443,-0.0009114911983192547,-6.158057315305459e-09,-0.00013288645659992324
1778740525317844130,-0.0009307257852405346,-6.287601014345951e-09,-0.0001358422448931584
1778740525384096886,-0.0009517829714434188,-6.300636601837955e-09,-0.00014117597288132444
1778740525433953167,-0.0009674586735583654,-6.41780281122419e-09,-0.0001455800921577044
1778740525483916162,-0.000995550549849868,-6.387818982117438e-09,-0.00015171290188398245
1778740525517770972,-0.0010078940522993576,-6.551057890808824e-09,-0.0001540819984038322
1778740525567824910,-0.0010239692910184097,-6.47574512860313e-09,-0.00015924992886073855
1778740525617850965,-0.001047951907904772,-6.316623033127835e-09,-0.00016427771821403425
1778740525684089864,-0.0010655266334580625,-6.37872608168726e-09,-0.00017248467467911868
1778740525717776905,-0.0010847451241636468,-6.484150753614298e-09,-0.00017908048344494887
1778740525767877351,-0.0010987560625521163,-6.399998920855475e-09,-0.00018956558459715112
1778740525817909808,-0.0011214630470060085,-6.57572233050287e-09,-0.00020810999880627182
1778740525867722367,-0.0011354761741620405,-6.532068519977451e-09,-0.00021762051857576736
1778740525933998046,-0.0011616980391575746,-6.39189094264884e-09,-0.00023005608060877591
1778740525967770318,-0.001182476234146152,-5.549159673367411e-09,-0.00023811243669236148
1778740526018863186,-0.001201988721703666,-6.128032213590778e-09,-0.00024311532998311236
1778740526084008611,-0.001219546393633656,-6.24485104519599e-09,-0.00024948948251601877
1778740526117908538,-0.0012333274877811126,-6.356483260704302e-09,-0.00025735728477638276
1778740526167578134,-0.0012579141082622366,-6.11841588252776e-09,-0.00026811845096652576
1778740526217627172,-0.0012755269080487826,-6.222419302463426e-09,-0.0002786584620966259
1778740526267668186,-0.001295378149537101,-6.127444011955639e-09,-0.0002888325666638991
1778740526318016204,-0.0013140446095281423,-5.917119297987299e-09,-0.0002970602277843071
1778740526367805348,-0.0013350763677680234,-4.939161790975824e-09,-0.0003050533214041806
1778740526417861741,-0.001345492653043787,-5.977401321514866e-09,-0.00031056285523867194
1778740526467711089,-0.0013605604986911208,-6.161588748312941e-09,-0.00031685578706674983
1778740526534316346,-0.001397923276790693,-5.847754664355896e-09,-0.00032372841825534243
1778740526567562797,-0.0014073104658013627,-5.571856031819001e-09,-0.0003260376322855585
1778740526617838588,-0.0014278827393249926,-5.8361296804118446e-09,-0.000331144578957332
1778740526683915418,-0.0014439613134887026,-5.725701015356646e-09,-0.0003358031995039923
1778740526717526694,-0.0014679488690008014,-5.426907570684576e-09,-0.00034066820401656983
1778740526767954144,-0.0014855233025330527,-5.587198599646237e-09,-0.00034705051908012763
1778740526817638177,-0.0015047430695767682,-5.261175789034951e-09,-0.0003570702762427657
1778740526867778189,-0.0015240732765177507,-5.0094084417735696e-09,-0.00036685579303563637
1778740526917538057,-0.0015414320383023846,-5.130934364585876e-09,-0.0003763527519895504
