t_ns,x,y,yaw
1778740984081609494,0.0,0.0,0.0
1778740984085632990,-9.502744173216283e-06,-1.5682598833823392e-10,-2.856187165445334e-06
1778740984087755423,-3.4596233146929536e-05,-4.399254642536207e-11,-1.6259602389823158e-05
1778740984089557296,-4.767328831962039e-05,-2.5386942599209426e-10,-2.425853053500404e-05
1778740984091863710,-7.033866249142591e-05,-3.580393736064752e-10,-3.671546952643823e-05
1778740984093804758,-9.086896376799356e-05,-3.8519693787333084e-10,-4.4085987899844525e-05
1778740984095811522,-0.00010976768208157119,-5.005917696897617e-10,-5.034731272868242e-05
1778740984097975214,-0.00013290805448222192,-1.631945715915105e-10,-6.165899749444037e-05
1778740984100301105,-0.00015285883562943963,-3.0845819082130173e-10,-7.134766254424108e-05
1778740984102152553,-0.00017431807939460238,-5.129935013429805e-10,-8.195202884309083e-05
1778740984104308190,-0.00018912437568128953,-6.153599380250906e-10,-8.894865154651654e-05
1778740984105944798,-0.0002032507542194297,-1.1235587827039376e-09,-9.423694599774991e-05
1778740984108296578,-0.00022196327015633504,-1.2323840757685938e-09,-0.00010127582494057209
1778740984110588445,-0.00024557196849963144,-9.236279536823497e-10,-0.00010912077841984669
1778740984112536025,-0.0002640222823744584,-1.3907628864784362e-09,-0.00011536905003772803
1778740984146106273,-0.0002861915115386264,-8.670507432069289e-10,-0.00012713040527811967
1778740984212325484,-0.0003093776256710001,-1.6363669672837605e-09,-0.0001359427190248397
1778740984245976947,-0.000321764026384174,-1.7825706064061554e-09,-0.0001391921444087174
1778740984296098869,-0.0003426905969744375,-2.0853154965018604e-09,-0.00014299774922665875
1778740984346227153,-0.00036210438460882865,-2.2517990063775676e-09,-0.0001451451766714129
1778740984396190293,-0.00037946664144569323,-2.3270271114513415e-09,-0.00014695386323460014
1778740984462428349,-0.00040569264318572254,-2.695137531822959e-09,-0.0001503353906904259
1778740984496215501,-0.00040794264198329433,-2.8318214830131723e-09,-0.00015111590811178743
1778740984546222173,-0.00043192569963578436,-2.737118160129012e-09,-0.00015381096042244025
1778740984596040307,-0.00045531374639846045,-2.8667539152676575e-09,-0.00016224912883755493
1778740984662335552,-0.00047733536216030626,-3.073154817279605e-09,-0.00017021277378015398
1778740984695691672,-0.0004913796025842563,-3.0438624443609553e-09,-0.00017290392626589934
1778740984745712772,-0.0005037664184000496,-3.1975258142122998e-09,-0.00017409819601743592
1778740984796045506,-0.0005246932231136439,-3.507229367098424e-09,-0.00017698091768192373
1778740984862350290,-0.0005531855096440533,-3.85596178510341e-09,-0.00018151394826304568
1778740984895884559,-0.0005714127058247365,-3.850449012547422e-09,-0.00018427606242976682
1778740984945797984,-0.000587920768500216,-4.140028076536806e-09,-0.0001895036728645216
1778740984996009707,-0.0006033840971239697,-4.281984200377245e-09,-0.00019657457760668962
1778740985045656604,-0.0006232149508259985,-4.314948207851275e-09,-0.0002034500129850514
1778740985095980471,-0.0006436692829641833,-4.245794850905617e-09,-0.00021089253596562332
1778740985145817831,-0.0006593746208736803,-4.271781283798754e-09,-0.00021712416025509995
1778740985212048483,-0.000678586522170413,-3.92748306945265e-09,-0.00022521841087153052
1778740985246052057,-0.0006979828488759561,-3.6801409105956538e-09,-0.00023383415622646453
1778740985295415614,-0.0007153888665508392,-3.736136859993634e-09,-0.000242635606109598
1778740985345923421,-0.0007400841742515347,-3.539533650582007e-09,-0.000250562912142982
1778740985395879858,-0.0007559141774063592,-3.840474041115261e-09,-0.0002564832093803205
1778740985445959189,-0.000771352007038071,-4.0126295454052635e-09,-0.0002626202869699945
1778740985495855692,-0.0007853902715382285,-3.976880975759788e-09,-0.00026657893006065686
1778740985545871763,-0.0008118564607792504,-4.097228769403245e-09,-0.00027915316025328707
1778740985595944371,-0.0008273196966624733,-4.253879311286297e-09,-0.0002895520853627431
1778740985645622638,-0.0008519719536454539,-4.0011412776093335e-09,-0.00030007538168419495
1778740985695670629,-0.000861279340693809,-4.085347911968195e-09,-0.0003067436607917528
1778740985745798362,-0.0008799906324772614,-3.862202953710776e-09,-0.0003141625235558721
1778740985795844049,-0.0008973648723778466,-3.9622074407535254e-09,-0.0003200125064468651
1778740985845808732,-0.0009238453046933274,-4.076486767444886e-09,-0.0003316015634347025
1778740985895929672,-0.0009359897074468301,-4.084823656957594e-09,-0.0003393046004727118
1778740985945978335,-0.0009639694317308763,-3.95944679998936e-09,-0.0003550703338310868
1778740985996121237,-0.0009798449051937768,-4.287558907959668e-09,-0.0003652297952370098
1778740986045962234,-0.0010002628489275474,-3.1212736869126216e-09,-0.00037331031993037556
1778740986095817618,-0.0010201357681545009,-4.233040725796538e-09,-0.00038363041246247676
1778740986145709262,-0.0010357542355493934,-4.580795172765267e-09,-0.00038772005894971434
1778740986195999154,-0.0010560455697694927,-4.633090468439251e-09,-0.0003828430916561487
1778740986262156006,-0.0010761321345396516,-4.817396975543126e-09,-0.00037092819639150676
1778740986295623578,-0.001097374710068942,-3.926609913411859e-09,-0.0003579533160333881
1778740986345843668,-0.0011079249635179967,-5.55261374094509e-09,-0.00034815111954333844
1778740986395997801,-0.0011318649501457433,-5.3327813412637074e-09,-0.0003393415170185321
1778740986445955070,-0.001149475445491,-5.542887269783904e-09,-0.00032762169642674976
1778740986495690155,-0.001169622496433824,-5.535784076726717e-09,-0.00031389668344239396
1778740986562190932,-0.0011913148066644134,-5.7708375328959046e-09,-0.0002980890779293865
1778740986612078007,-0.0012054317425546995,-5.766295191260262e-09,-0.00029251524696638503
1778740986645771700,-0.0012195321939377855,-5.772930732436791e-09,-0.0002873828044593907
1778740986695759657,-0.0012457347894902838,-6.187951378059435e-09,-0.00027276557260069717
1778740986745676188,-0.0012614053322395438,-6.432261982868072e-09,-0.0002636488918557056
1778740986795873604,-0.0012812976381369402,-6.890828180283959e-09,-0.0002573824908367328
1778740986845764997,-0.0013018779688113568,-6.586260975556882e-09,-0.0002561889841237175
1778740986895874726,-0.001314011691575118,-6.613637797118271e-09,-0.00025617454277648827
1778740986945812447,-0.0013371822964286864,-6.782635055440026e-09,-0.00025148778512118497
1778740986995679073,-0.0013576519533025392,-7.06712288639319e-09,-0.00024643782964517413
1778740987062031187,-0.0013841104934678046,-7.3445004031831045e-09,-0.0002417964586571841
1778740987095851441,-0.0013931210617403158,-8.097450240647916e-09,-0.00024021112745842285
1778740987145944799,-0.001415540142919201,-7.445473990761082e-09,-0.00023877698799301686
1778740987196082622,-0.0014347531042249039,-7.707087649966087e-09,-0.00023408368025767953
1778740987245755228,-0.0014540795259881977,-7.867158430093146e-09,-0.00023068804765813408
1778740987296203873,-0.0014697176908030594,-8.14184766422595e-09,-0.00022936429030817607
1778740987345687599,-0.0014864906596662346,-8.307133159978146e-09,-0.0002286282781045479
1778740987395780165,-0.0015098628040906864,-8.10842211501693e-09,-0.00022618334883262037
1778740987462179840,-0.0015380523709688392,-8.058744516016304e-09,-0.0002209840216229608
1778740987495763513,-0.001541544957270473,-8.188194713342982e-09,-0.00021929550927568545
1778740987562230356,-0.0015693356038452993,-8.032508676469455e-09,-0.0002145775791420057
1778740987596058165,-0.0015881759566835556,-7.927477195920312e-09,-0.00021204805095287327
1778740987662091030,-0.0016034802963610215,-8.28147214499035e-09,-0.00021250805638617365
1778740987712099416,-0.00162526439737803,-8.485703694943482e-09,-0.0002184806975802367
1778740987745692908,-0.001642897563435379,-8.590345785449038e-09,-0.00022574702290567572
1778740987795861860,-0.001653449462280648,-8.359393450782969e-09,-0.00023329078310441176
1778740987845962081,-0.0016816112590684374,-8.252455240912427e-09,-0.00025042658669871537
1778740987895498197,-0.0016922182976359037,-8.202811409832823e-09,-0.00026017457455385085
1778740987946082250,-0.0017093306923877914,-8.220136949856853e-09,-0.00027604452009022395
1778740988012277245,-0.0017375381852797953,-8.068223288175946e-09,-0.0003001356656406884
1778740988046066871,-0.0017513241434556355,-8.134606355130678e-09,-0.00031820862697840013
1778740988095803759,-0.0017759137304135034,-7.78947054376077e-09,-0.00033561255710079507
1778740988162193154,-0.0017935263607947297,-7.87734379675798e-09,-0.0003533071407799682
1778740988195780385,-0.0018073177481812681,-7.978480454114385e-09,-0.0003711523528511229
1778740988262240555,-0.0018319103411704263,-7.596150241285076e-09,-0.00038864156234241776
1778740988295760968,-0.0018478059972467434,-7.55413260762906e-09,-0.000402843858139601
1778740988346045229,-0.001863919300723078,-7.84960208566559e-09,-0.0004125958094540749
1778740988395956720,-0.0018879271432401608,-7.51389264761729e-09,-0.00042019461823894483
1778740988462259921,-0.0019114989254567713,-7.251157559468732e-09,-0.0004332722468283201
1778740988495877700,-0.0019247375106658433,-7.767095552303103e-09,-0.00044104952299406364
1778740988545913568,-0.0019440709681653174,-7.546721700533213e-09,-0.0004525335027811828
1778740988595780134,-0.0019614310968844987,-7.69850821915999e-09,-0.00046282922605511695
1778740988662196530,-0.001981313866291182,-7.573771240631498e-09,-0.0004742823221706161
1778740988695699730,-0.0020000095500038737,-7.3156411069024174e-09,-0.0004849289880182184
1778740988762217379,-0.002017371419606533,-7.458414001813818e-09,-0.0004958268872647943
1778740988795955758,-0.002037279683951972,-7.323252797801542e-09,-0.0005053499043063957
1778740988845810311,-0.0020559909339671156,-7.061066106779914e-09,-0.0005158887596961036
1778740988912081981,-0.002073361351978856,-7.205419095781515e-09,-0.0005308463864048818
1778740988945793108,-0.002098072168199055,-6.7751089384472914e-09,-0.0005462149101775892
1778740988995893379,-0.002113583278315867,-6.250918328553741e-09,-0.0005616453287324852
1778740989045632041,-0.0021276224405824746,-6.833604663800488e-09,-0.0005749431755401879
1778740989095636650,-0.0021491598535056497,-6.524072075171533e-09,-0.0005874442596902618
1778740989162130013,-0.002167984524417413,-6.234857345835354e-09,-0.0005983884530129657
1778740989195686274,-0.0021904678806239923,-4.764167799704467e-09,-0.0006092063098162015
1778740989245860476,-0.0022046128820962106,-5.8314905488816215e-09,-0.0006193729376033906
1778740989295844786,-0.0022239763863000027,-5.507410253987221e-09,-0.0006278768787999489
1778740989345621912,-0.0022413780611511536,-5.717747770625793e-09,-0.0006384393303373592
1778740989396075987,-0.002261441006698049,-5.040620956123948e-09,-0.0006518382546611967
1778740989445688098,-0.0022819093191797156,-5.395544912759452e-09,-0.0006680435333557
1778740989496080756,-0.0023008902117060497,-4.002096503782573e-09,-0.0006827243172500275
1778740989545685032,-0.002321988567313344,-5.003365311239238e-09,-0.0006958839010189344
1778740989595802275,-0.002337441839827621,-4.534978921638163e-09,-0.0007085627674086048
1778740989645792095,-0.0023568033151281863,-3.771428106513093e-09,-0.0007205557461920087
1778740989695755426,-0.0023731250782909144,-4.750289574592919e-09,-0.0007320879297774141
1778740989745973471,-0.002393416427709859,-4.35422861352398e-09,-0.0007412798320114433
1778740989796022855,-0.0024127896622862578,-3.5975082167806112e-09,-0.0007490734984889613
1778740989846010311,-0.0024291177865799836,-4.6520873766214736e-09,-0.0007572763474801292
1778740989895577356,-0.002449842219218099,-4.76264848683533e-09,-0.0007684918715264999
1778740989962126846,-0.002465307770651913,-4.985978845157486e-09,-0.0007786928955337836
1778740989996072449,-0.002485116829196947,-4.5024740349064305e-09,-0.0007897092217321601
1778740990045973731,-0.0025054121833557623,-4.0744345111463805e-09,-0.0007988260911959699
1778740990095792085,-0.002521939013201127,-4.64004617736737e-09,-0.0008094208892690525
1778740990162152916,-0.0025494248051446283,-4.386164173754306e-09,-0.000820925561663355
1778740990195657899,-0.0025612902670376445,-3.791906984070571e-09,-0.0008280816807659797
1778740990245938614,-0.0025827117910610527,-3.6283842071375868e-09,-0.0008388549788151954
1778740990296104781,-0.0025973227866932266,-3.804396511170762e-09,-0.0008509054361538482
1778740990345796994,-0.002617547389133589,-3.1933803143868055e-09,-0.0008638883604574766
1778740990412223730,-0.002638718718603906,-2.635486772080912e-09,-0.0008802820407685097
1778740990462540023,-0.002653336698655212,-2.821130948319312e-09,-0.0008974625966353679
1778740990512166962,-0.0026741869750014965,-2.0182452326520752e-09,-0.0009158407047848982
1778740990545587715,-0.002694692422717464,-1.4439725409466363e-09,-0.0009312910764465164
1778740990596030559,-0.002703973144633444,-1.7649713682600637e-09,-0.0009400321433004065
1778740990645979471,-0.002736048335085249,-4.875446511430005e-10,-0.0009576623861207169
1778740990712225924,-0.0027509356219261333,-8.283751075803055e-10,-0.000971505262354011
1778740990745930678,-0.0027717528837578388,-3.0209813511729854e-10,-0.0009873127801696138
1778740990812157223,0.0023636249912388,-1.8463609629144191e-06,-0.0010121136862792923
1778740990862247445,0.014387265452763455,-3.1087790936117006e-06,-0.0010222791629415084
1778740990895823374,0.027236693804233273,-6.556497576228481e-06,-0.001030015221017866
1778740990946109459,0.039184995317860155,-1.1957948276627246e-05,-0.0010133235736531354
1778740990995852409,0.05276966155440612,-1.564818759958187e-05,-0.0009820174718493389
1778740991062298452,0.07775393683149555,-2.1826282361433115e-05,-0.000833813841769615
1778740991095856437,0.09459388212224919,-2.223431295019131e-05,-0.0006426397461414268
1778740991145664942,0.10827644662938521,-1.6638233170296712e-05,-0.00041072897521265967
1778740991212169106,0.12518292449171473,-4.21897290101931e-06,-0.0001799279759437944
1778740991245924837,0.1356599686514228,7.619772186070763e-06,1.5814403286018575e-05
1778740991295881785,0.152096049178333,3.000733321443819e-05,0.00019535169727724622
1778740991345814086,0.17223754468894803,5.967572917036815e-05,0.0003530879640427642
1778740991395854693,0.18591298113483382,8.098716578260291e-05,0.000450552756207756
1778740991462288864,0.21314281559694473,0.00012682143541088259,0.0006464780234090028
1778740991512245201,0.23346599537007834,0.00016382714506001038,0.0007882323350765219
1778740991545892435,0.2537419203355132,0.00020252827239576832,0.0009170001071536761
1778740991595737731,0.27038659034489176,0.00023624980482342742,0.0010198827541718636
1778740991662096197,0.28230052885358375,0.0002652531686420143,0.0010988576775061707
