t_ns,x,y,yaw
1778742380349029057,-6.9999999989792015e-06,-1.1858664084566267e-10,3.388189738617467e-05
1778742380350391654,-1.3999999998020575e-05,-2.371732816913254e-10,-3.009270892369298e-16
1778742380351026293,-2.099999999706195e-05,-3.557599225369881e-10,3.388189738617467e-05
1778742380351451383,-2.799999999604115e-05,-4.743465633826508e-10,0.0
1778742380352064671,-3.499999999502035e-05,-5.929332042283134e-10,3.388189738617467e-05
1778742380352856310,-4.1999999993999555e-05,-7.115198450739761e-10,0.0
1778742380353937871,-4.899999999297876e-05,-8.301064859196387e-10,3.388189738617467e-05
1778742380354638095,-5.5999999991957963e-05,-9.486931267653014e-10,0.0
1778742380355364799,-5.5999999991957963e-05,-9.486931267653014e-10,0.0
1778742380356041729,-6.999999999198751e-05,-9.48693126763195e-10,-3.0093038881154714e-16
1778742380356767242,-6.999999999198751e-05,-9.48693126763195e-10,-3.0093038881154714e-16
1778742380357637620,-7.699999999102888e-05,-1.0672797676088577e-09,3.388189738617467e-05
1778742380358309190,-8.399999999000808e-05,-1.1858664084545204e-09,0.0
1778742380358949981,-9.099999998898729e-05,-1.3044530493001832e-09,3.388189738617467e-05
1778742380359260783,-9.799999998796649e-05,-1.423039690145846e-09,0.0
1778742380360078451,-0.0001049999999869457,-1.3044530493001832e-09,-3.388189738617467e-05
1778742380360598973,-0.0001119999999859249,-1.1858664084545204e-09,0.0
1778742380361600741,-0.0001189999999849041,-1.3044530493001832e-09,3.388189738617467e-05
1778742380362679757,-0.00012599999998394549,-1.423039690145846e-09,-3.009270892369298e-16
1778742380363563271,-0.00012599999998394549,-1.423039690145846e-09,-3.009270892369298e-16
1778742380364408952,-0.00013299999998298687,-1.5416263309915087e-09,3.388189738617467e-05
1778742380365191233,-0.00013999999998196607,-1.6602129718371714e-09,0.0
1778742380366214272,-0.00015399999998193345,-1.6602129718371714e-09,0.0
1778742380367065874,-0.00015399999998193345,-1.6602129718371714e-09,0.0
1778742380367636562,-0.00016799999998190083,-1.6602129718371714e-09,0.0
1778742380377698694,-0.00016799999998190083,-1.6602129718371714e-09,0.0
1778742380394804247,-0.00017499999998088004,-1.7787996126828342e-09,3.388189738617467e-05
1778742380427555420,-0.00018199999997992142,-1.8973862535284967e-09,-3.009270892369298e-16
1778742380428438583,-0.00018199999997992142,-1.8973862535284967e-09,-3.009270892369298e-16
1778742380460794954,-0.00019599999997995098,-1.8973862535263903e-09,3.2995746173546875e-21
1778742380461712192,-0.00019599999997995098,-1.8973862535263903e-09,3.2995746173546875e-21
1778742380477882473,-0.00020999999997991836,-1.8973862535263903e-09,3.2995746173546875e-21
