t_ns,x,y,yaw
1778741843475543118,-3.4618214211600767e-06,-5.395066437326268e-11,-5.56898235526404e-07
1778741843480725041,-3.9242590003086265e-05,-8.375839771445159e-10,-2.3897778006709558e-05
1778741843482272339,-4.760563843295775e-05,-9.418771212953035e-10,-3.932505842918488e-05
1778741843484600285,-7.503510261476139e-05,-1.042088095905402e-09,-6.097069588184567e-05
1778741843486791319,-9.213012792851286e-05,-1.4408767567945076e-09,-6.914800283697176e-05
1778741843489192074,-0.00010672584656674674,-1.7190757593217898e-09,-8.150046767907426e-05
1778741843491750769,-0.00013072489342747553,-2.330226214881642e-09,-9.789371312951546e-05
1778741843493258111,-0.00014659249374424893,-2.6200171660804425e-09,-0.00010998401574546791
1778741843496603816,-0.00016765364184340316,-2.978592321463103e-09,-0.00011935432421550374
1778741843498578739,-0.0001882018647672867,-2.4650078708691755e-09,-0.00011535803550044578
1778741843500994391,-0.0002050706215026071,-3.6903677964085663e-09,-0.00010626823832948773
1778741843503376059,-0.00022358882604555999,-4.023460660464911e-09,-9.739946547071554e-05
1778741843505285147,-0.00024467432096177176,-4.393742960466786e-09,-8.97581496865918e-05
1778741843506995375,-0.000258779834596576,-4.6461598884179705e-09,-8.626990045268458e-05
1778741843538192878,-0.00028575653934938126,-4.613179270932848e-09,-8.667759418123921e-05
1778741843572682263,-0.0003006682421119164,-5.397895257289707e-09,-8.683719304647397e-05
1778741843637963337,-0.00032885478774068275,-5.865980230402049e-09,-8.694080395921233e-05
1778741843671910318,-0.0003381290163879462,-6.098649182172678e-09,-8.161778948867493e-05
1778741843722216630,-0.00035662229759167614,-6.432718156704351e-09,-7.315638271432334e-05
1778741843772002861,-0.0003776937207804293,-6.8095088237522225e-09,-6.531460645753383e-05
1778741843822064206,-0.00039405182951771745,-7.164199011802413e-09,-6.119792098457923e-05
1778741843872081607,-0.0004125804591517728,-7.477440180589703e-09,-6.077308342966603e-05
1778741843921584738,-0.00043367149592576335,-7.810676852654346e-09,-6.632820907048753e-05
1778741843971856484,-0.0004477791419092616,-8.02674268865223e-09,-7.09113828993857e-05
1778741844021611375,-0.0004692067367303065,-8.181228338626907e-09,-7.959416699909738e-05
1778741844071759435,-0.0004896382904937851,-8.469723022932162e-09,-8.383290491931206e-05
1778741844121720790,-0.0005037297441781028,-8.690380401928528e-09,-8.558044930007115e-05
1778741844171670091,-0.0005301645472541558,-8.975505125367558e-09,-9.045400044493945e-05
1778741844221844501,-0.0005457750319110466,-9.191413068575556e-09,-9.348866704428359e-05
1778741844271768295,-0.0005666872213227833,-9.367791945364636e-09,-9.845565337940343e-05
1778741844321735179,-0.0005878246193119083,-9.367870193634968e-09,-0.00010974915891459601
1778741844371807114,-0.0006017704396324121,-9.610985781795523e-09,-0.00012148804696998639
1778741844421691352,-0.0006280430572365614,-9.53040082461956e-09,-0.00013350106613208013
1778741844471759680,-0.0006439519365429369,-9.752858401898625e-09,-0.0001393792799921911
1778741844521610474,-0.0006629623477087043,-9.155968997430505e-09,-0.0001471291766668159
1778741844571625029,-0.0006792291742690529,-9.327234979969549e-09,-0.0001551476603558477
1778741844621460384,-0.0006926675347258629,-1.0069968661912695e-08,-0.00016117854208497207
1778741844671554491,-0.0007204288539607985,-9.665820595133884e-09,-0.0001754406900364991
1778741844721536865,-0.000739978178918801,-1.0378640246632827e-08,-0.00018243731149913955
1778741844771728689,-0.0007558252849841121,-1.0624219748784825e-08,-0.00019037937205279576
1778741844837888527,-0.0007760936710769893,-1.0695817639744899e-08,-0.00019614196515638227
1778741844887860582,-0.0007961576275425335,-1.0831882055258553e-08,-0.00020260943666672304
1778741844921587564,-0.0008135128675766376,-1.0921658843011827e-08,-0.00021209141458111702
1778741844971628290,-0.000825859606459993,-1.1069281253721961e-08,-0.00021759004394095174
1778741845021601226,-0.0008518676513928926,-1.1049138033229665e-08,-0.0002278246248068605
1778741845071478571,-0.0008677591512779271,-1.1316130113607525e-08,-0.00023268080212091038
1778741845121698728,-0.0008886898649387474,-1.1616083026750183e-08,-0.00023648640658624484
1778741845171484037,-0.0008979921224445561,-1.1920640456911175e-08,-0.0002380141213005338
1778741845221642297,-0.0009292612010811789,-1.0905405291770507e-08,-0.0002404425205591032
1778741845271638417,-0.0009440966368812544,-1.1471134261052387e-08,-0.00024275227915593334
1778741845338000321,-0.0009673825036249931,-1.2475196698909957e-08,-0.0002458527059494564
1778741845371586715,-0.0009814213019791588,-1.2453519951740231e-08,-0.0002492868403694004
1778741845421653701,-0.0010015091572750975,-1.1946492552058744e-08,-0.0002557377875294087
1778741845487889083,-0.0010200066920823295,-1.2613290849042237e-08,-0.00026158911002260865
1778741845521460398,-0.001041020239484642,-1.1798532311904745e-08,-0.0002660872105750834
1778741845588224288,-0.0010566489153166782,-1.2956976268108224e-08,-0.0002684226301110649
1778741845621642892,-0.0010777408568164327,-1.3271749374564546e-08,-0.00027118351404231694
1778741845671548591,-0.001093435377114108,-1.3489205641739168e-08,-0.00027380130607346226
1778741845721602461,-0.0011057394213801715,-1.3639208143287436e-08,-0.00027606638619248614
1778741845771870540,-0.0011339184348092032,-1.3826954045457926e-08,-0.0002829923345135654
1778741845821532213,-0.0011493769022961936,-1.4012431326356191e-08,-0.00029006300971046173
