t_ns,x,y,yaw
1778693561156358368,-0.0013704291721388189,2.6824972227749263e-07,5.760414927691115e-05
1778693561156406600,-0.0013768664507729017,-8.195862368987949e-08,6.423583085040864e-05
1778693561156421608,-0.0013828264589879464,7.593762380062605e-07,5.907647439698065e-05
1778693561160743873,-0.0013892642402308544,-6.766898463747941e-08,-8.226899945915446e-06
1778693561162053354,-0.0013957011751031681,6.550062316323089e-07,-9.881414795353273e-06
1778693561163408492,-0.0014023771737320405,1.8586359859561774e-07,5.7719794233310705e-05
1778693561168756646,-0.001408099396682655,1.9245894119801292e-07,-1.0521083561407945e-05
1778693561171718343,-0.0014147746179025253,4.3857160557243047e-07,5.941215873616406e-05
1778693561174259787,-0.001420974324259751,8.808909325504618e-08,-1.094282155583198e-05
1778693561176351161,-0.0014274113081723882,9.550846640699942e-08,-5.544202644429482e-06
1778693561179152060,-0.0014331324482690715,8.173588775757475e-07,5.815400085358473e-05
1778693561181689526,-0.001440048186408362,-2.4755453193088936e-07,5.5542769982837965e-05
1778693561184671070,-0.0014462463997601878,-2.4041022290453005e-07,6.493597245734864e-05
1778693561187358453,-0.0014533983377011518,7.21507831925299e-07,5.899984102774879e-05
1778693561190387548,-0.0014595980062646354,-1.058119619476373e-07,-9.972218438094824e-06
1778693561192275824,-0.0014660346520387942,3.7844441110478333e-07,-5.181994004367493e-06
1778693561193547833,-0.001471756482710413,6.234580864247058e-07,5.6307230204967374e-05
1778693561195585375,-0.0014784332929675347,-2.0331187845557e-07,5.61763756509905e-05
1778693561196370224,-0.001484154935673043,4.170165603681025e-08,-9.102428390821401e-06
1778693561198454635,-0.0014908300935546114,5.26232899576954e-07,5.832522618407271e-05
1778693561198827216,-0.0014972674697462443,2.9523394001138013e-07,5.641914724969889e-05
1778693561199599611,-0.0015037052453658617,6.423527970433354e-08,5.7501264925032226e-05
1778693561200261686,-0.001510142746185303,7.165504013202793e-08,5.935315861781502e-05
1778693561201080259,-0.001517056264476214,1.988331005751568e-07,6.303135636757385e-05
1778693561202078776,-0.001523254895128498,8.020242888001797e-07,5.6948407832630146e-05
1778693561202950591,-0.001529216349880512,-2.639887786917784e-07,6.123098446550514e-05
1778693561203739568,-0.001535175958667572,5.773457837458347e-07,6.41021979194749e-05
1778693561204428824,-0.0015416128920141868,4.6555580570287516e-07,-9.749589717003031e-06
1778693561205169509,-0.0015487659455026312,2.3538156322112797e-07,7.174777335558887e-05
1778693561206024522,-0.0015556795215085537,7.201876068352241e-07,6.702461894648026e-05
1778693561206828257,-0.001561878600629146,6.081232512009389e-07,-6.41724733310359e-06
1778693561207572558,-0.001567600776588233,6.147185585964485e-07,5.404408248311119e-05
1778693561208269700,-0.0015737999823854294,2.581704463071117e-08,5.9957307473089174e-05
1778693561209143789,-0.0015799984485673666,6.290081096316347e-07,5.4699947407954754e-05
1778693561209908730,-0.0015864364989871607,1.5959102858984697e-07,5.163215811171556e-05
1778693561210794862,-0.0015923967099893915,-7.195777757183041e-08,6.095959910432221e-05
1778693561211708187,-0.001599071972577499,7.702014843461665e-07,5.447961188681363e-05
1778693561212281662,-0.0016050334344785023,-5.7392951169736956e-08,-1.788512133120257e-05
1778693561213152275,-0.001611470696765811,-1.6918268276449753e-07,-7.138770360973839e-06
1778693561213945890,-0.0016174298356375941,6.721515276042598e-07,-1.5604911149574018e-05
1778693561214682277,-0.00162529818334164,2.043830885752002e-07,-2.6879450659576982e-06
1778693561215196088,-0.0016324502678804775,5.702546866889925e-07,6.816834925427607e-05
1778693561216452257,-0.0016379337509150335,8.149936147452909e-07,6.43996026008988e-05
1778693561217247656,-0.0016441334879170127,7.029297520074035e-07,-1.686519880563749e-05
1778693561218154438,-0.0016503327335567475,-1.2439035872750261e-07,-5.60996878315777e-06
1778693561219101346,-0.001656769413550154,7.174939798924425e-07,-9.909509290536995e-06
1778693561220191759,-0.00166249192049873,8.833655411430403e-09,5.843571499439213e-05
1778693561221185076,-0.0016691675375720906,1.3573730305634824e-07,6.394565375831528e-05
1778693561222089764,-0.0016756047906616137,5.007848178102537e-07,-1.3712203035402483e-05
1778693561223775253,-0.001681565383219356,-3.268102690330324e-07,5.9771386187234834e-05
1778693561224770413,-0.001687763668584172,5.147992871164035e-07,5.844656366532388e-05
1778693561225944015,-0.0016942019304658407,4.538236450560028e-08,-1.427806292100036e-05
1778693561227789439,-0.0017004000733303749,5.2526620721631475e-08,6.25542657881278e-05
1778693561239025078,-0.0017070752184396632,8.946857946224145e-07,5.7560584138755905e-05
1778693561240104128,-0.001712559585638556,6.654156532073583e-08,5.3854322988349834e-05
1778693561256389611,-0.001719235759461259,-4.497299652777417e-08,-1.1495556780623011e-05
1778693561273279077,-0.001725672217269307,4.392832356971044e-07,5.7103609891742034e-05
1778693561306172869,-0.0017323490111796542,-1.490681148105592e-07,5.681380674999055e-05
1778693561307630733,-0.001737831973732912,-2.353889001802974e-08,6.266101476029897e-05
1778693561323626081,-0.0017447461642031883,5.804769272736063e-07,-1.3237900990840096e-05
1778693561339839346,-0.0017507067838311889,-1.2790882597820975e-07,-1.0310516732565641e-05
1778693561372376787,-0.0017576204139776285,5.953158848188261e-07,5.836163087303941e-05
1778693561389052375,-0.0017633427365345887,5.864735498298717e-09,-9.21628417556167e-06
1778693561405826230,-0.0017700181365227846,7.288147870489252e-07,-1.30065684373162e-05
1778693561422424530,-0.0017762176370414266,-2.1771444603613796e-07,-9.332946120741788e-06
1778693561439686177,-0.0017828925941846046,6.244445870371029e-07,-1.238441735778772e-05
1778693561455774363,-0.001788853969251542,3.526871308348277e-08,-1.4606122652021442e-05
1778693561457501611,-0.0017950520921948072,1.6162226768409857e-07,6.257438233244683e-05
1778693561489059562,-0.001802204670144685,5.274942354701888e-07,9.457763593104168e-07
1778693561505720712,-0.001808164942436422,7.727827284675062e-07,-2.0461412961639906e-05
1778693561522474709,-0.0018141258639348577,-5.481211192758075e-08,-7.742076796949606e-06
1778693561539114238,-0.0018208013778273778,5.489287116522316e-07,-8.980648984622968e-06
1778693561556401394,-0.001826761991832088,4.3658952073710906e-07,-1.5996376515392697e-05
1778693561572470363,-0.0018329609662461408,-3.310285327502852e-08,6.366898921773208e-05
1778693561573398465,-0.001839159510064359,8.085068965122773e-07,-1.1413145997323911e-05
1778693561605778816,-0.001845597562532949,-3.761660628542309e-07,-1.1347577628400479e-05
1778693561606840223,-0.0018520343799264438,3.465090653983435e-07,-1.1997300044646096e-05
1778693561623477418,-0.0018584721483970719,-1.229082268847574e-07,5.433541722829132e-05
1778693561655760263,-0.0018644323195567646,-1.1603843627726602e-07,-7.631578094151103e-06
1778693561672415992,-0.0018708689055671158,7.258458319289081e-07,-1.2437520180330738e-05
1778693561689169298,-0.0018777845262275873,-3.3906766559494226e-07,-1.5673057489781114e-05
1778693561706294865,-0.0018837441406379376,-9.377966549402327e-08,6.0749631010968606e-05
1778693561707574409,-0.0018897041217827235,6.283458626106469e-07,-1.6326954889671653e-05
1778693561723563385,-0.0018959037704249378,-7.97646328777046e-08,-1.751750776834352e-05
1778693561739788493,-0.0019028171186222117,6.434598666780179e-07,5.3413668539277226e-05
1778693561756346185,-0.0019090159990532095,1.7376742225210892e-07,5.366316026838076e-05
1778693561773065556,-0.0019154536010046954,4.1960588506962916e-07,4.934465391047544e-05
1778693561789677001,-0.0019216531990808874,-4.0771396161363547e-07,5.316977036910724e-05
1778693561806324976,-0.0019280892048461323,6.725884984825236e-07,5.664093299071039e-05
