t_ns,x,y,yaw
1778742072821977743,-0.0028121452786743118,1.4182734990425633e-07,4.7195535754323024e-05
1778742072823478552,-0.0028188204202091055,8.647772078170121e-07,-2.424357937295057e-05
1778742072823908862,-0.0028245429812981987,3.945355505189403e-07,4.023480943828552e-05
1778742072824766146,-0.002831219473338111,-7.460671284545294e-08,-1.899992869888612e-05
1778742072825519972,-0.00283717879660151,6.475183223628194e-07,4.804332112175647e-05
1778742072826172746,-0.002843616035393055,5.357285731646161e-07,-2.4284334889409216e-05
1778742072827092558,-0.0028495763511018246,6.618077853807915e-07,4.0635625045744695e-05
1778742072827839732,-0.0028562532624909908,7.345652289034138e-08,4.324598550091485e-05
1778742072828731341,-0.002862213158850507,3.187447342325746e-07,4.988290029889208e-05
1778742072829575760,-0.0028686503577995135,4.4537358180353997e-07,-2.3318938587035773e-05
1778742072830308205,-0.0028750876001655524,4.52793148593364e-07,4.5011424407013256e-05
1778742072831104052,-0.0028815250539934666,4.6021287381417305e-07,-2.026473227113812e-05
1778742072831897333,-0.002887485091327565,7.055011907770625e-07,4.631725358169565e-05
1778742072832813729,-0.002893922169223258,7.129206343427866e-07,4.53334034747355e-05
1778742072833512631,-0.0029001213459014,7.200656651103002e-07,4.013565560505162e-05
1778742072834243473,-0.0029063208264987726,-1.0725426959017822e-07,4.691083749611678e-05
1778742072835105897,-0.002912042091223264,8.530148615718379e-07,4.240207176134467e-05
1778742072835802754,-0.0029189567592809032,1.4572859027091482e-07,4.529981024926299e-05
1778742072836515533,-0.002924917089287652,7.486450664391997e-07,-2.5261112498090546e-05
1778742072837178716,-0.002931354458330295,2.7922747489757094e-07,4.597914785061326e-05
1778742072838024478,-0.00293755258842255,6.439996614742411e-07,4.7683612381976024e-05
1778742072838776501,-0.00294375149387501,1.008772428964523e-06,-2.937434530704083e-05
1778742072839459552,-0.002949951531221725,-5.6965715229383034e-08,-2.2342755254842967e-05
1778742072840182169,-0.002956626931209921,6.659843363212428e-07,-2.5798818531705255e-05
1778742072840989337,-0.0029623487838516048,7.653283493186029e-08,4.45535800156168e-05
1778742072841826332,-0.0029687858760452765,5.607895424496939e-07,4.165082422786215e-05
