t_ns,x,y,yaw
1778743893109224541,-1.4000000000029546e-05,-2.106512721685276e-21,3.0093038881154714e-16
1778743893109724474,-1.4000000000029546e-05,-2.106512721685276e-21,3.0093038881154714e-16
1778743893110199359,-2.0999999999008747e-05,-1.185866408498757e-10,3.38818973864756e-05
1778743893110965459,-2.7999999997987947e-05,-2.3717328169764485e-10,3.009270892369298e-16
1778743893111490780,-2.7999999997987947e-05,-2.3717328169764485e-10,3.009270892369298e-16
1778743893112663564,-4.199999999795532e-05,-2.3717328170185783e-10,3.009270892369298e-16
1778743893113455012,-4.199999999795532e-05,-2.3717328170185783e-10,3.009270892369298e-16
1778743893114019959,-5.599999999798487e-05,-2.371732817039643e-10,-3.2995746173546875e-21
1778743893114414801,-5.599999999798487e-05,-2.371732817039643e-10,-3.2995746173546875e-21
1778743893114900918,-6.999999999801441e-05,-2.3717328170607077e-10,3.009270892369298e-16
1778743893115681906,-6.999999999801441e-05,-2.3717328170607077e-10,3.009270892369298e-16
1778743893116518730,-7.699999999699362e-05,-3.5575992255383993e-10,3.38818973864756e-05
1778743893117584461,-8.399999999597282e-05,-4.743465634016091e-10,3.009270892369298e-16
1778743893118385217,-8.399999999597282e-05,-4.743465634016091e-10,3.009270892369298e-16
1778743893119061846,-9.79999999959402e-05,-4.743465634058221e-10,3.009270892369298e-16
1778743893119789152,-9.79999999959402e-05,-4.743465634058221e-10,3.009270892369298e-16
1778743893120532228,-0.00011199999999596975,-4.743465634079285e-10,-3.2995746173546875e-21
1778743893121263752,-0.00011199999999596975,-4.743465634079285e-10,-3.2995746173546875e-21
1778743893121963004,-0.0001259999999959993,-4.743465634100349e-10,3.009270892369298e-16
1778743893122642319,-0.0001259999999959993,-4.743465634100349e-10,3.009270892369298e-16
1778743893123304060,-0.0001329999999949785,-3.557599225664787e-10,-3.3881897385873743e-05
1778743893123995186,-0.0001399999999939577,-2.3717328172292245e-10,3.009270892369298e-16
1778743893124679010,-0.0001399999999939577,-2.3717328172292245e-10,3.009270892369298e-16
1778743893125330050,-0.00015399999999392508,-2.3717328172713544e-10,3.009270892369298e-16
1778743893126198895,-0.00015399999999392508,-2.3717328172713544e-10,3.009270892369298e-16
1778743893126891064,-0.00016799999999395461,-2.371732817292419e-10,-3.2995746173546875e-21
1778743893127600296,-0.00016799999999395461,-2.371732817292419e-10,-3.2995746173546875e-21
1778743893128263620,-0.00018199999999398417,-2.3717328173134837e-10,3.009270892369298e-16
1778743893128966669,-0.00018199999999398417,-2.3717328173134837e-10,3.009270892369298e-16
1778743893129656294,-0.00018899999999296338,-3.5575992257911754e-10,3.38818973864756e-05
1778743893130621473,-0.00019599999999194258,-4.743465634268868e-10,3.009270892369298e-16
1778743893131542287,-0.00019599999999194258,-4.743465634268868e-10,3.009270892369298e-16
1778743893132421012,-0.00020999999999190996,-4.743465634310997e-10,3.009270892369298e-16
1778743893133213732,-0.00020999999999190996,-4.743465634310997e-10,3.009270892369298e-16
1778743893133898247,-0.00022399999999193952,-4.743465634332061e-10,-3.2995746173546875e-21
1778743893134584013,-0.00022399999999193952,-4.743465634332061e-10,-3.2995746173546875e-21
1778743893135210898,-0.00023799999999196908,-4.743465634353125e-10,3.009270892369298e-16
1778743893135917985,-0.00023799999999196908,-4.743465634353125e-10,3.009270892369298e-16
1778743893136626906,-0.00024499999999094826,-5.929332042830817e-10,3.38818973864756e-05
1778743893137292414,-0.00025199999998992744,-7.115198451308508e-10,3.009270892369298e-16
1778743893138148495,-0.0002589999999889688,-5.929332042851882e-10,-3.388189738617467e-05
1778743893138924945,-0.00026599999998794797,-4.743465634395256e-10,0.0
1778743893139652190,-0.0002729999999869893,-5.929332042872947e-10,3.38818973864756e-05
1778743893140382743,-0.0002799999999859685,-7.115198451350639e-10,3.009270892369298e-16
1778743893141104899,-0.0002799999999859685,-7.115198451350639e-10,3.009270892369298e-16
1778743893141849487,-0.0002939999999859359,-7.115198451392768e-10,3.009270892369298e-16
1778743893142597964,-0.0002939999999859359,-7.115198451392768e-10,3.009270892369298e-16
1778743893143330059,-0.00030099999998491506,-8.30106485987046e-10,3.38818973864756e-05
1778743893144012970,-0.00030799999998389424,-9.486931268348151e-10,3.009270892369298e-16
1778743893153560422,-0.00030799999998389424,-9.486931268348151e-10,3.009270892369298e-16
1778743893154417145,-0.0003219999999839238,-9.486931268369216e-10,-3.2995746173546875e-21
1778743893186886194,-0.00032899999998296515,-1.0672797676846907e-09,3.38818973864756e-05
1778743893187511365,-0.00033599999998194433,-1.1858664085324599e-09,3.009270892369298e-16
1778743893204895921,-0.00033599999998194433,-1.1858664085324599e-09,3.009270892369298e-16
1778743893237184105,-0.0003499999999819117,-1.185866408536673e-09,3.009270892369298e-16
1778743893253523991,-0.0003499999999819117,-1.185866408536673e-09,3.009270892369298e-16
1778743893270773990,-0.0003639999999818791,-1.185866408540886e-09,3.009270892369298e-16
1778743893287500933,-0.0003639999999818791,-1.185866408540886e-09,3.009270892369298e-16
1778743893288424593,-0.00037099999998085827,-1.3044530493886551e-09,3.38818973864756e-05
1778743893304328287,-0.0003779999999798996,-1.4230396902364243e-09,0.0
1778743893336903348,-0.0003779999999798996,-1.4230396902364243e-09,0.0
1778743893353498470,-0.0003919999999799292,-1.4230396902385307e-09,3.0093038881154714e-16
