Lighting,Trial,Method,ATE RMSE,ATE mean,ATE max,RPE trans RMSE,Yaw error,Drift rate,Pose count ratio
Bright,t01,Wheel,0.273,0.221,0.427,0.008,4.332,0.016,1.0
Bright,t01,EKF,0.267,0.217,0.419,0.022,2.817,0.016,0.333
Bright,t01,ORB-SLAM3,1.616,1.422,3.124,0.292,47.77,0.165,0.553
Bright,t02,Wheel,3.476,2.738,6.733,0.285,74.955,0.259,1.0
Bright,t02,EKF,3.477,2.739,6.735,0.287,73.894,0.259,0.333
Bright,t02,ORB-SLAM3,2.905,2.444,5.822,0.397,73.442,0.208,0.583
Bright,t03,Wheel,0.423,0.376,0.607,0.007,7.088,0.03,0.999
Bright,t03,EKF,0.437,0.388,0.629,0.047,7.035,0.031,0.333
Bright,t03,ORB-SLAM3,2.243,1.937,4.631,0.352,61.582,0.174,0.557
Dim,t01,Wheel,2.492,2.163,4.102,0.029,36.534,0.171,1.0
Dim,t01,EKF,2.494,2.165,4.106,0.093,31.034,0.171,0.333
Dim,t01,ORB-SLAM3,2.989,2.501,5.213,0.324,64.121,0.224,0.632
Dim,t02,Wheel,0.695,0.584,1.015,0.007,10.582,0.044,1.001
Dim,t02,EKF,0.704,0.591,1.03,0.046,10.3,0.044,0.334
Dim,t02,ORB-SLAM3,1.613,1.365,2.713,0.225,49.575,0.113,0.594
Dim,t03,Wheel,0.351,0.305,0.533,0.006,5.911,0.026,1.0
Dim,t03,EKF,0.375,0.323,0.571,0.04,5.597,0.028,0.333
Dim,t03,ORB-SLAM3,2.749,2.258,5.209,0.289,58.737,0.231,0.598
Low-light,t01,Wheel,4.24,3.505,7.442,0.03,59.9,0.381,1.0
Low-light,t01,EKF,4.241,3.506,7.452,0.117,49.063,0.382,0.333
Low-light,t01,ORB-SLAM3,0.648,0.6,1.154,0.155,8.919,0.053,0.685
Low-light,t02,Wheel,3.118,2.432,5.718,0.248,58.255,0.238,0.997
Low-light,t02,EKF,3.122,2.434,5.725,0.252,58.022,0.238,0.332
Low-light,t02,ORB-SLAM3,2.708,2.202,5.284,0.296,59.763,0.209,0.666
Low-light,t03,Wheel,0.539,0.459,0.766,0.006,7.251,0.036,1.0
Low-light,t03,EKF,0.556,0.472,0.793,0.042,7.125,0.037,0.333
Low-light,t03,ORB-SLAM3,0.515,0.475,1.152,0.187,3.0,0.016,0.672
